prefer,track_id,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,1VHi4pmTXIWT581NMcEfw0,LEENALCHI,Crying Softshell Turtle,0.66,0.71,9,-7.729,0,0.126,0.533,3.39e-06,0.0758,0.487,149.142,193979,4
0,5NxMtA6MywvvxZgJfKlSMi,Ak Dan Gwang Chil,"Hello, Lonely",0.598,0.653,0,-5.902,1,0.0365,0.101,0.000206,0.204,0.59,100.117,237698,4
0,15DNthtZKuYXnXZT9G2JuS,LEENALCHI,Tiger's Third Leg,0.731,0.652,7,-7.472,1,0.323,0.568,0,0.0519,0.623,145.963,194927,4
0,4OP5IjUCmdYRK6yL6EZL8M,LEENALCHI,Tiger is Coming,0.773,0.492,5,-8.699,0,0.346,0.778,0,0.111,0.687,127.888,332343,4
0,0ILLFVJJopz1XYI13an3F7,Chosunblues,작야 Last Night,0.319,0.461,5,-5.947,0,0.0381,0.748,5.68e-05,0.111,0.139,170.367,332000,3
0,2JRo8dXMyBEvKWoo5aACcf,Chosunblues,Four Seasons,0.507,0.264,5,-10.559,0,0.0753,0.862,0,0.126,0.289,120.542,235992,3
0,5PCmt0I5T2ab7InyglcO2t,Chosunblues,Bird,0.51,0.373,9,-6.872,0,0.0263,0.473,6.34e-06,0.0866,0.229,134.931,219957,3
0,5nbHk9cYYV9wapb2puZCNS,Chosunblues,A Person,0.452,0.373,7,-6.044,1,0.0304,0.574,0,0.121,0.411,144.944,291142,3
0,6qsUaKXzbYl9B50jzf92ZL,앙상블 시나위,Blind Love,0.502,0.216,1,-9.041,1,0.0301,0.89,0.000256,0.165,0.29,99.647,326920,3
0,33YJ8TRLs3BFEQ0XiDYTZx,앙상블 시나위,Cold Rain,0.313,0.36,3,-9.078,0,0.0351,0.827,2.69e-06,0.0534,0.288,182.441,505947,3
0,5gLJfhgyyCkgAfXyMOJJM1,앙상블 시나위,"Cadenza for Soul : 중중모리, 살풀이",0.453,0.306,10,-10.488,0,0.0871,0.623,0.0153,0.336,0.337,84.22,419813,3
0,1MQWOF5KzAP2uQoHZSrsBR,앙상블 시나위,"Cadenza for Soul : 삼현, 진양",0.358,0.156,5,-19.478,1,0.0312,0.935,0.459,0.396,0.103,104.731,280333,3
0,6cFt9pgcv0E0hUbJJjoSo9,2nd Moon,얼음연못,0.405,0.369,9,-9.786,0,0.0314,0.865,0.657,0.107,0.193,79.484,259109,3
0,6It69lC1K07zxK5iJNQUfs,2nd Moon,이별가 (feat. 김준수),0.306,0.314,5,-10.176,1,0.0319,0.813,7.15e-06,0.103,0.148,135.537,311000,3
0,583vWEKISkI5HMbdNdji7a,2nd Moon,사랑가 (feat. 고영열),0.466,0.319,7,-10.18,1,0.0563,0.543,0,0.368,0.496,75.477,268000,4
0,10U4VN7NqPfkPVMME4Y4nU,Song Sohee,Song of Plum Blossom,0.369,0.341,4,-7.026,1,0.0326,0.828,0,0.265,0.335,145.68,228600,3
0,6Ei9l45vhu28Y146PsLyJw,Song Sohee,Roast Chestnut Ballad,0.718,0.666,6,-3.828,1,0.0458,0.382,0,0.146,0.602,117.959,161173,4
0,3sk7hrXdKGvMRTqrxSANsW,Song Sohee,Odolttogi,0.345,0.534,7,-5.013,1,0.0453,0.617,0,0.096,0.346,152.401,332440,3
0,6EACZft5JBmkwMawqSw7Tm,Song Sohee,Jeongseon Arirang,0.259,0.197,11,-9.788,1,0.0347,0.858,7.34e-06,0.103,0.0393,66.299,221573,4
0,2eI6ppEDNFk7k3sjP1S6Re,Song Sohee,Gangwon Arirang,0.668,0.695,8,-4.525,0,0.0605,0.488,0,0.315,0.609,132.06,226120,5
0,2HbuPL1bfnzeItog5wUaF5,Song Sohee,Song of Peace,0.477,0.639,3,-3.212,1,0.037,0.415,0,0.335,0.498,153.808,237373,3
0,7e0rahDkgGwhNbuHE4M0nF,Song Sohee,I Beg You,0.377,0.385,9,-5.393,0,0.0313,0.248,1.31e-05,0.119,0.112,125.306,312573,3
0,0yIfkjewn0DaRkP35yK77o,앙상블 시나위,Dancing Moonlight,0.482,0.38,0,-10.248,0,0.0432,0.897,0.85,0.0846,0.222,103.35,478800,4
0,4OP65tWIOobgmHYCHi6cjG,앙상블 시나위,The Return of the Swallow,0.583,0.39,5,-9.183,1,0.158,0.72,7.6e-05,0.119,0.321,98.042,352840,3
0,3BHdPpIXY6LXfUtxsi8et5,앙상블 시나위,Indang-soo,0.392,0.54,7,-8.022,0,0.0562,0.761,3.02e-06,0.368,0.313,105.254,415560,3
0,0o5iDXZ4lgzfEXEilTQF42,앙상블 시나위,"Cadenza for Soul : 엇모리, 중모리",0.386,0.367,5,-12.066,0,0.0379,0.706,0.00521,0.265,0.235,140.895,191587,4
0,5oGWGf0BeT5E5ksc4evV3P,LEENALCHI,A Fish Map,0.68,0.661,0,-8.862,1,0.203,0.516,0.0205,0.455,0.839,115.128,188348,4
0,2Q2qVCax1YMQdN8sTjpEGz,LEENALCHI,Catch a Rabbit,0.782,0.481,7,-8.069,0,0.179,0.63,0,0.108,0.681,94.049,137553,4
0,6LWUTR9ALOYRH39M0OMN3V,LEENALCHI,Please Don't Go,0.724,0.63,6,-9.83,0,0.113,0.837,0,0.349,0.864,121.972,224964,3
0,3XeMzONZFukbv8DPRS3tnp,LEENALCHI,You Know Who I Am?,0.542,0.561,7,-7.615,1,0.356,0.732,0,0.084,0.529,203.733,327685,3
0,5t7qWqg2F7rvkTBVwuspJz,LEENALCHI,Ultimate Prescription,0.686,0.272,7,-11.732,1,0.111,0.854,0,0.0724,0.374,87.964,423317,4
0,5jfdfaMn2sALEofAqzimhl,LEENALCHI,A Magic Pocket,0.654,0.454,9,-9.413,0,0.522,0.507,0,0.0812,0.567,135.516,305728,4
0,4nzxpK58HvxaJbQdltIvI3,LEENALCHI,꼼짝꼼짝 말아라 찰칵 찍어주마,0.839,0.578,5,-8.114,0,0.195,0.329,0,0.206,0.942,118.059,115424,4
0,60wBhqjUiRY2HuHGoks2nf,LEENALCHI,Ddiddiroo Diroo Diroo,0.716,0.516,4,-9.62,1,0.254,0.656,0,0.176,0.849,118.106,331265,4
0,5i9sIKnaZd6KYN3OFR61CS,Song Sohee,Moon Halo,0.204,0.327,5,-6.437,1,0.0295,0.84,0,0.108,0.179,72.225,282053,4
0,5MmoDDxjzgYMX1hB3LJ8HB,Song Sohee,ARIRARI,0.427,0.659,10,-3.983,1,0.0582,0.332,0,0.0522,0.325,106.047,255331,4
0,5GDl7qpqNn44Xak1cPvTHz,Lee Heemoon,청춘가 Song Of Youth,0.605,0.343,1,-8.055,1,0.0548,0.676,1.35e-05,0.0898,0.349,105.302,369600,4
0,1jR6uPoLFwpJuaLrYkOWry,Prelude,Tae Pyeong Ga,0.471,0.354,2,-8.203,1,0.0372,0.644,2.24e-06,0.331,0.202,118.265,272480,3
0,1LqtOoo1KV2hhEfGvMTNYM,Lee Heemoon,난봉가 Difficult Love,0.539,0.829,5,-5.56,0,0.33,0.169,1.51e-05,0.106,0.636,138.29,267520,4
0,4idsJDz4AHACZbIfap6eD4,Lee Heemoon,창부타령 Song Of A Clown,0.622,0.801,7,-4.758,0,0.249,0.18,0,0.157,0.673,93.075,416200,4
