prefer,track_id,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2,0PHnarucM3z3XrjXZtxRWQ,Foley,Cola,0.581,0.662,0,-4.14,0,0.244,0.0887,0.00016,0.104,0.808,205.789,179634,4
2,12maCq9nipFJomO0DctIMt,Foley,Can't Help the Way,0.746,0.631,11,-4.699,0,0.3,0.43,0,0.111,0.808,101.977,189858,4
2,1C1zAdzv54zm5jqGnFiCOa,Jane & The Boy,Wonderstruck,0.669,0.674,7,-7.783,1,0.034,0.142,1.9e-06,0.504,0.757,107.024,157520,4
2,7rMFqTtDjzTVQTdD0fQCwf,Jane & The Boy,Starry Eyed,0.721,0.73,7,-8.078,1,0.0379,0.0653,4.08e-06,0.0663,0.65,110.014,185880,4
2,6RRNNciQGZEXnqk8SQ9yv5,Taylor Swift,You Need To Calm Down,0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,171360,4
2,3A0AhF0HB1g0D6WPQjjr7h,Chris James,The Cool Kid,0.819,0.693,1,-5.836,1,0.0895,0.0909,0,0.104,0.903,141.954,153281,4
2,4fXmBERnR3SDk053aqQqwa,keshi,Kiss Me Right,0.332,0.812,6,-4.278,0,0.0893,0.0727,3.93e-06,0.289,0.558,69.728,161968,4
2,2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,Please Please Please,0.675,0.586,9,-6.086,1,0.0531,0.257,0,0.104,0.621,107.015,186365,4
2,09IStsImFySgyp0pIQdqAc,Zedd,The Middle,0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,184732,4
2,6QMWZGwkpUS7RtgRgRcW5x,Fly By Midnight,In The Night,0.605,0.934,5,-3.642,0,0.0331,0.00914,0.00288,0.311,0.825,119.998,206000,4
2,28Uw7wcsuQQpm5xElRoiww,Chris James,The Race,0.753,0.555,8,-5.816,1,0.0344,0.257,0.000653,0.176,0.799,102.966,141562,4
2,0rZf7sBjvU2hj7TNBbn8qm,The Volunteers,Tell 'em boys,0.593,0.774,1,-5.141,0,0.074,0.00221,0.0941,0.101,0.633,159.945,269976,4
2,6ce41JVa6KFaryfmC2bu2W,Taylor Swift,22,0.661,0.729,7,-6.561,1,0.0376,0.00215,0.0013,0.0477,0.668,103.987,232120,4
2,00Mb3DuaIH1kjrwOku9CGU,Avril Lavigne,Sk8er Boi,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0,0.358,0.484,149.937,204000,4
2,2z4U9d5OAA4YLNXoCgioxo,Avril Lavigne,What the Hell,0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976,220707,4
2,2Ce1f9I2gTUZgoDDGHC24J,Tori Kelly,Something Beautiful,0.63,0.864,11,-4.056,1,0.102,0.0204,0.0207,0.191,0.577,93.008,224173,4
2,4YOlZCfnPBfy1ixfSRp07T,Justin Bieber,One Less Lonely Girl,0.555,0.75,4,-4.424,1,0.204,0.159,0,0.274,0.726,86.84,229107,4
2,5HbCnVLXRyZVxnreOPgJCK,Avril Lavigne,Girlfriend,0.56,0.959,7,-2.433,1,0.102,0.000738,0.000206,0.209,0.67,163.983,216600,4
2,1gBkUc43ulbsRFIjlzZpOo,Lucy Hale,Run This Town,0.696,0.892,5,-2.574,1,0.0798,0.015,0,0.25,0.717,127.977,235613,4
2,2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,175459,4
2,1lpqzWcJ2CUr8MAT5G3jNm,Cody Fry,Thinking About You,0.914,0.528,5,-6.988,0,0.0997,0.0416,0.00403,0.0851,0.889,98.974,227853,4
2,5jmBbkBYN9Zxbr8oYQEuUE,sunkis,Top Tier,0.773,0.576,11,-5.624,0,0.186,0.425,0,0.11,0.686,101.993,172356,4
2,0W6cB9dPUnsL5iKOpxuSAK,LAY,Run Back To You,0.925,0.594,10,-5.755,1,0.0454,0.0341,0.00232,0.107,0.885,117.993,188751,4
2,4Thlj8RDW47gwD1RwNAFo4,Chelsea Collins,07 Britney,0.475,0.846,4,-1.465,1,0.0625,0.11,0,0.24,0.381,154.19,182915,4
2,0arPxj5WufzbjEy1uPn7GP,Ethan Dufault,Casualties,0.647,0.306,3,-10.392,1,0.0321,0.846,0,0.1,0.348,143.932,222083,4
2,3plZS2cU2xgAQm0iyuSu8X,Foley,Can't Help the Way,0.746,0.631,11,-4.699,0,0.3,0.43,0,0.111,0.808,101.977,189858,4
2,5N7hXynMlFbsV5Y8QfEJr9,Foley,Cola,0.579,0.661,0,-4.133,0,0.243,0.0857,0.000161,0.104,0.829,205.807,179634,4
2,3RauEVgRgj1IuWdJ9fDs70,Taylor Swift,The Man,0.777,0.658,0,-5.191,1,0.054,0.0767,0,0.0901,0.633,110.048,190360,4
2,3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,"thank u, next",0.72,0.654,1,-5.634,1,0.0647,0.227,0,0.101,0.411,106.976,207320,4
2,3sW3oSbzsfecv9XoUdGs7h,Taylor Swift,Enchanted (Taylor's Version),0.52,0.553,8,-3.546,1,0.0269,0.016,0,0.165,0.227,81.949,353253,4
2,7G0gBu6nLdhFDPRLc0HdDG,Taylor Swift,Mine (Taylor's Version),0.647,0.793,7,-2.903,1,0.0363,0.00314,1.93e-06,0.174,0.5,121.101,231707,4
2,3ZPBZH2k9p306C1bu7bkhC,Lauv,Never Not,0.471,0.22,5,-9.243,1,0.037,0.691,0,0.104,0.26,133.714,208000,4
2,3uwnnTQcHM1rDqSfA4gQNz,Demi Lovato,Cool for the Summer,0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,214740,4
2,4vVTI94F9uJ8lHNDWKv0i2,Sean Kingston,Eenie Meenie,0.72,0.607,1,-4.168,1,0.0322,0.0543,0,0.113,0.828,121.223,201947,4
2,2LAqcZuU9nbOZrC7Nzdvtu,Kiiara,So Sick (feat. blackbear),0.751,0.544,7,-7.073,1,0.0581,0.149,1.56e-05,0.513,0.392,118.048,150943,4
2,4G6A1vrOJC6pUwBhxfoSQS,Jake Miller,Can't Help Myself,0.656,0.615,1,-5.562,1,0.0506,0.209,0,0.109,0.732,76.53,210000,4
2,7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,0.64,0.619,8,-7.108,1,0.065,0.062,0,0.475,0.121,90.008,204852,4
2,6PERP62TejQjgHu81OHxgM,Olivia Rodrigo,good 4 u,0.556,0.661,6,-5.052,0,0.204,0.3,0,0.101,0.668,168.56,178148,4
2,6NFyWDv5CjfwuzoCkw47Xf,Taylor Swift,Delicate,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,232253,4
2,3CeCwYWvdfXbZLXFhBrbnf,Taylor Swift,Love Story (Taylor’s Version),0.626,0.79,2,-4.302,1,0.0311,0.135,3.97e-06,0.0989,0.416,119.082,235767,4
2,3JyZogZnODtfAGTgpLozo2,Emily Vaughn,here,0.755,0.322,6,-10.377,1,0.0545,0.364,0,0.0928,0.169,119.934,119000,4
2,36gcliMRX1vCpgnrZE3dFZ,Tiësto,10:35,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,172253,4
2,1yxsoZCXBEcplWHsuc6wey,Lauv,Summer Nights,0.783,0.825,0,-7.483,0,0.0751,0.0581,6.12e-05,0.0631,0.226,139.956,156050,4
2,0Jw7m6p1qyz0VsvjpguMzu,Lauv,Believed,0.796,0.518,11,-8.09,0,0.0516,0.0766,0,0.444,0.49,149.962,169760,4
2,3pTHZHX0MRE7xYeiTEWlaM,Lauv,Tattoos Together,0.863,0.401,4,-7.49,1,0.0748,0.00569,9.14e-06,0.123,0.606,122.962,186613,4
2,6r3duEAfFTH83DuoywkG20,Lauv,Feelings,0.7,0.394,9,-8.911,1,0.0328,0.0567,0,0.0801,0.241,103.041,189907,4
2,4G4gtvlaFaI6v6wWD8UvqL,Lauv,Getting Over You,0.604,0.507,0,-7.928,1,0.0382,0.273,2.27e-06,0.0943,0.114,91.984,255886,4
2,7diY4bRXZ7ca6BEGNlz3xL,Lauv,Molly In Mexico,0.664,0.855,1,-6.069,0,0.0633,0.00439,0.241,0.0959,0.754,143.993,179388,4
2,6Vv8kZbiRdSbybIukXjvWF,Lauv,Stay Together,0.892,0.595,9,-7.053,1,0.0811,0.256,1.79e-05,0.116,0.694,155.086,140316,4
2,5z8uLrYMcUVvzTV28twt44,Ellie Goulding,Slow Grenade,0.758,0.562,9,-6.302,1,0.0771,0.0996,0,0.0996,0.581,142.035,217493,4
2,4A1GjAsAWjxBV4rzgOAOxR,Valley,Have A Good Summer (Without Me),0.612,0.71,1,-6.754,1,0.0323,0.0235,0,0.178,0.442,119.945,210850,4
2,6pqyZNnLKyJKtrlf42FQoq,BOYNEXTDOOR,Nice Guy,0.836,0.841,7,-3.609,1,0.116,0.284,0,0.386,0.678,116.0,164920,4
2,1t4a4bAObtfBiiNo0a0vle,BOYNEXTDOOR,Gonna Be A Rock,0.767,0.788,7,-4.06,0,0.0426,0.149,0,0.189,0.47,127.983,197253,4
2,7x9s9KVpMOrQ2z2fzOGo8z,BOYNEXTDOOR,So let's go see the stars,0.652,0.92,5,-3.91,1,0.0471,0.00425,0,0.145,0.618,142.024,202693,4
2,5WluLr98V6qbQVEhiZEH7Y,INFINITE,Cover Girl,0.664,0.978,1,-2.221,1,0.064,0.0281,0,0.0318,0.864,114.957,197707,4
2,3f8DdhaJATZNptWCaykoMQ,INFINITE,Julia,0.593,0.774,10,-5.015,1,0.0256,0.00107,2.21e-06,0.171,0.533,95.014,211213,4
2,0xZ4WU5UfctiSeETi6pMEo,SEVENTEEN,God of Light Music,0.576,0.965,11,-3.462,0,0.11,0.0834,0,0.256,0.781,139.87,91960,4
2,7B9W7Qsy5M2kyUNjQYIEG8,fromis_9,DM,0.649,0.898,11,-3.291,0,0.11,0.0213,0,0.0576,0.663,122.028,204293,4
2,0ECkPMDQlTtL373y7BByup,RIIZE,Siren,0.807,0.828,1,-2.928,1,0.0628,0.00101,7.91e-06,0.143,0.672,104.978,147962,4
2,0lUtQTBt2ydznYzuAeYFrZ,RIIZE,Love 119,0.752,0.75,8,-4.666,1,0.0468,0.447,0,0.288,0.419,98.524,173489,4
