prefer,track_id,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,1pvBm1ydKLXorYDdlIAeuj,YOUHA,FLIGHT,0.63,0.758,7,-3.696,1,0.0789,0.282,0,0.0934,0.574,94.115,167107,4
1,0jXneVxiitQZsbtftH7HHJ,Red Velvet,BAMBOLEO,0.652,0.88,5,-3.322,1,0.0474,0.0296,5.3e-05,0.126,0.551,107.95,208347,4
1,3ee90jW6zKgzTHaqfseXgs,Dreamcatcher,Alldaylong,0.629,0.876,6,-4.006,1,0.048,0.125,3.11e-06,0.163,0.669,103.026,217547,4
1,0P9XwjnnIPQFTwdqvu01Mf,dosii,lovememore.,0.641,0.683,0,-7.521,0,0.0273,0.768,0.0176,0.0824,0.924,155.887,231710,4
1,1oEMCcw6M6aSVVDURlBFeu,HEIZE,Why,0.553,0.706,11,-4.61,0,0.0338,0.175,2.57e-05,0.253,0.427,94.913,188573,4
1,7wFiepGd1CAqO0Q98sE3R7,TWICE,SAY SOMETHING,0.713,0.841,8,-4.067,1,0.0622,0.0859,0,0.0646,0.723,105.963,247360,4
1,0G3QjTHfhemSaTePpaStQU,Boramiyu,Like Summer,0.375,0.904,5,-1.627,1,0.0803,0.124,1.78e-05,0.452,0.793,205.441,192440,4
1,4Icpg3IBBopSN4hihd0jv7,JUNE,Gas Station,0.625,0.767,11,-3.403,1,0.0409,0.00175,0,0.0406,0.898,95.014,233174,4
1,6igvYG3mvEZ41JiOD9bkbg,DAYBREAK,"Curious (Back to You X DAYBREAK, YUKIKA)",0.757,0.804,11,-3.288,1,0.133,0.651,0,0.079,0.887,98.039,177413,4
1,0dNPYcWzYsf1jDhW6tiq9s,WJSN,Our Garden,0.671,0.909,0,-1.819,1,0.15,0.438,0,0.0909,0.634,107.035,185107,4
1,4Z4B89t6T8Y39pme9fYaSn,Yerin Baek,Suddenly - Digging Club Seoul Version,0.672,0.597,1,-8.222,0,0.0788,0.452,6.97e-05,0.133,0.414,91.977,252799,4
1,056ve9qgYBqfAadX29x9ds,En Sokum,Cristal Love,0.656,0.745,0,-4.077,0,0.0267,0.0638,0,0.4,0.77,102.037,217059,4
1,0vuM2H3oow8eATaF2lXNMN,YOUHA,We,0.701,0.535,6,-5.567,1,0.0379,0.387,0,0.0739,0.49,85.057,221373,4
1,1kTFcaOrSmY4XqneDu3oRm,uju,Give Me The Light,0.581,0.83,5,-3.975,0,0.0438,0.184,0.0233,0.0547,0.795,99.91,190364,4
1,71gxvSj62Daqer8F57b22C,YUKIKA,Love in TV World,0.601,0.825,5,-4.369,0,0.0383,0.281,0.000653,0.166,0.602,112.049,243023,4
1,71Ogm7o9KbXrgGsUafjvy3,PARKMOONCHI,"I'm Into You (with. Kirin, Dala, Jungu)",0.713,0.832,10,-6.648,1,0.0538,0.298,0.000346,0.118,0.707,107.011,273079,4
1,3Kb84HFyDf5YRCt3GbbywY,george,After a long time(Digging Club Seoul Ver.),0.6,0.611,5,-8.784,0,0.0328,0.22,0.00385,0.25,0.416,93.009,250951,4
1,3FlyVfCuAqHMbFODcXp2GR,Anonymous Artists (어나니머스 아티스트),새벽 (Art. Dizzy Blue),0.58,0.503,9,-8.935,1,0.0321,0.413,6.06e-05,0.327,0.552,86.958,225155,4
1,0ucoLfjcx03z9Vwp7JCDk5,ALEPH,S.O.S,0.557,0.735,5,-6.718,0,0.0411,0.282,0.166,0.0704,0.723,180.03,200167,4
1,10XwIa6tx3OtaesTcgMWcU,Girls' Generation,Girlfriend,0.668,0.862,0,-3.767,1,0.0707,0.047,0,0.0758,0.889,74.982,199200,4
1,4WSSE61YkRrH3gTHdA8fbt,GFRIEND,Paradise,0.663,0.938,0,-3.108,1,0.122,0.0548,0,0.284,0.623,107.948,194307,4
1,6mkOBtJkloqzGVLoVciaCt,DAYBREAK,Doesn't make sense (Feat. HEIZE),0.521,0.815,9,-4.292,0,0.0432,0.154,0,0.19,0.663,155.985,331125,4
