prefer,track_id,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
4,2pSTlAho8T5oJ3GjrOvfZn,BOL4,We loved,0.635,0.473,3,-3.919,1,0.0393,0.772,0,0.0933,0.4,85.101,194627,4,k-pop
4,3gug38ZhXQWJbwN7sh0YRR,San E,A midsummer night's sweetness,0.781,0.737,8,-3.915,1,0.227,0.57,0,0.31,0.778,85.973,233456,4,"k-pop, k-rap"
4,3BlFzuu8yqE4bMrHKTViee,Roy Kim,Let's Stay Well (My love X Roy Kim),0.362,0.364,11,-7.521,1,0.0368,0.665,0,0.118,0.296,75.663,258147,4,korean pop
4,20s4CVeJ9VgW2jdNLKr1EL,Choi Yu Ree,"잘 지내자, 우리",0.46,0.459,7,-6.393,1,0.0367,0.378,1.77e-05,0.16,0.159,143.952,256027,4,korean singer-songwriter
4,6guNyPMkOtVKW5upLj60VM,CHEEZE,Love You (Bye),0.389,0.298,0,-6.78,1,0.0433,0.842,0,0.0779,0.408,83.474,219551,4,"k-pop, korean pop"
4,1m6hChgffW1gqFKbpkGQrk,Younha,Dark Cloud,0.301,0.727,7,-3.753,1,0.0368,0.135,3.39e-06,0.27,0.206,141.406,240467,4,korean pop
4,6xqnXJbPNzsB4nvA2GdNy8,JOY,이별을 배웠어 Always In My Heart,0.611,0.766,9,-3.4,1,0.0371,0.716,0,0.143,0.558,88.987,203628,4,k-pop
4,5SQPTxNUunDOhBMOggDmX7,Supreme Team,Then Then Then,0.808,0.862,0,-4.473,0,0.0933,0.422,0,0.349,0.775,120.015,263079,4,"k-rap, korean old school hip hop"
4,4LpsAtaXdx8EqmChHdKSQy,DAY6,아픈 길,0.623,0.385,2,-4.829,1,0.0273,0.565,0,0.0824,0.291,143.809,249819,4,"k-pop, k-pop boy group"
4,7jPev7m1RQ6gUMYIfGobAl,SEVENTEEN,Hug,0.473,0.242,4,-9.364,1,0.0436,0.905,0,0.109,0.368,134.919,159110,4,"k-pop, k-pop boy group"
