prefer,track_id,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
4,6QfS2wq5sSC1xAJCQsTSlj,Lady Gaga,Shallow - Radio Edit,0.575,0.33,7,-6.557,1,0.031,0.416,0,0.0872,0.276,95.799,217213,4,"art pop, dance pop, pop"
4,4A7EkKijzA4ryEoCRWJzdG,Lady Gaga,I'll Never Love Again - Film Version,0.45,0.339,7,-7.463,1,0.0314,0.763,2.37e-06,0.135,0.215,110.646,281067,4,"art pop, dance pop, pop"
4,2rbDhOo9Fh61Bbu23T2qCk,Lady Gaga,Always Remember Us This Way,0.549,0.502,0,-5.972,1,0.0405,0.299,0,0.764,0.291,129.842,210200,4,"art pop, dance pop, pop"
4,1l9G7M8gNyQsgOGWZGoQsT,Lady Gaga,Look What I Found,0.849,0.493,1,-4.1,0,0.0417,0.456,0.000463,0.133,0.446,97.013,175240,4,"art pop, dance pop, pop"
4,1rpDLMm4FjGqMz6N1dZZo8,Lady Gaga,Million Reasons,0.666,0.423,0,-8.012,1,0.0429,0.494,0,0.106,0.154,129.893,205280,4,"art pop, dance pop, pop"
4,5Ctq1DOZUWZqsQZXro2jf7,Lady Gaga,Heal Me,0.607,0.542,9,-8.364,0,0.0601,0.0471,0,0.0916,0.464,86.013,196800,4,"art pop, dance pop, pop"
4,1EWKuMkjiVrHRoqAquXVfL,Lady Gaga,I Don't Know What Love Is,0.398,0.534,0,-6.556,1,0.029,0.348,0.000194,0.194,0.216,62.729,177293,4,"art pop, dance pop, pop"
4,2g2vRiOy9jmPCmSrotvGt6,Lady Gaga,Til It Happens To You,0.361,0.55,0,-4.73,1,0.0355,0.53,0,0.0942,0.132,113.731,258093,4,"art pop, dance pop, pop"
4,0gsl92EMIScPGV1AU35nuD,Céline Dion,All By Myself,0.344,0.325,11,-10.005,0,0.0287,0.35,0.0223,0.0686,0.0775,118.515,312307,4,canadian pop
4,5EQzuYfTZt7B2LqlvTF49l,Céline Dion,It's All Coming Back to Me Now,0.384,0.438,0,-9.149,1,0.0362,0.753,0,0.101,0.287,87.903,456867,4,canadian pop
