prefer,track_id,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2,1VNvsvEsUpuUCbHpVop1vo,Frédéric Chopin,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",0.44,0.00925,3,-32.452,1,0.0468,0.984,0.936,0.0873,0.0908,129.129,273667,4,"classical, early romantic era, polish classical"
2,3qMpUa5499FvA8OVFkJfzH,Frédéric Chopin,"Grande valse brillante in E-Flat Major, Op. 18",0.48,0.105,8,-24.064,1,0.0426,0.993,0.868,0.213,0.374,117.033,326240,4,"classical, early romantic era, polish classical"
2,2MSgFefjK0T7Iwjvr3OKqV,Frédéric Chopin,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,259493,4,"classical, early romantic era, polish classical"
2,3OmYSGZmHCSaDrcowVe0fs,Streaming Music Studios,"Always with Me (From ""Spirited Away"") [Piano Version]",0.689,0.0837,5,-27.238,1,0.0572,0.993,0.892,0.099,0.459,115.395,235711,3,anime score
2,0eTSQEblu8nrrmfeb8b5n9,MDP,Seesaw,0.662,0.21,5,-21.214,0,0.0709,0.679,0.936,0.113,0.0484,163.943,102438,4,korean instrumental
2,3pmagP9nir4IF9MDc4LuWL,Yu-Peng Chen,Tender Strength,0.474,0.0596,2,-21.343,1,0.0357,0.982,0.928,0.185,0.135,72.65,82756,4,japanese vgm
2,0vkyBVcGTbdOW5BJirBjKx,Hikaru Shirosu,"Waltz No. 1, Op. 6 ""Collapse""",0.537,0.0758,0,-26.395,0,0.043,0.993,0.9,0.225,0.412,154.438,157647,3,"anime score, japanese piano"
2,1HjYunwHNWb8YPgG5HJjnj,Dramatic Violin,I Wanna Be Yours (Violin),0.324,0.537,11,-6.573,0,0.0298,0.771,0.305,0.245,0.217,134.9,121000,4,
2,0zGfifFWGjwz2W49rcqDYO,Dennis Kuo,Solitary Mood,0.311,0.0456,7,-24.692,1,0.0853,0.991,0.931,0.114,0.665,165.186,100647,4,
2,29nxiknfmsT4LYNKLM5Un9,MDP,Fake Love - Orchestral Version,0.505,0.327,2,-13.933,0,0.03,0.576,0.89,0.0781,0.29,156.039,242212,4,korean instrumental
