prefer,track_id,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2,19D8LNpWwIPpi6hs9BG7dq,NewJeans,Bubble Gum,0.758,0.709,9,-3.589,1,0.0447,0.138,0,0.0765,0.529,105.005,200267,4,"k-pop, k-pop girl group"
2,6q4L77QLqOzilFDrLCWc5a,LUCY,Unbelievable,0.607,0.874,11,-1.514,0,0.0544,0.0311,3.41e-06,0.352,0.665,141.95,237627,4,korean superband
2,2cNMVbFcasgCRmn2t6VFFO,WONPIL,A journey,0.684,0.92,5,-3.872,1,0.0731,0.237,0,0.156,0.455,124.976,209217,4,
2,1x1oCGsFUDViOvcISuoKW0,aespa,Live My Life,0.686,0.88,10,-3.458,1,0.0378,0.207,1.83e-06,0.079,0.802,136.992,159133,4,k-pop girl group
2,1RgojDREKMLTMyhhD66LWj,DOYOUNG,The Story,0.618,0.428,6,-5.89,1,0.0287,0.16,0,0.13,0.331,101.962,186027,4,k-pop
2,6oNLSQX8bcAdbCElZYju3v,fromis_9,Supersonic,0.672,0.801,6,-3.968,0,0.0413,0.0539,0,0.131,0.415,140.025,174147,4,"k-pop, k-pop girl group"
2,0ZHfjGYU26P7B0j1MmHeG8,BIGBANG,Stupid Liar,0.624,0.81,0,-4.322,1,0.0336,0.0627,0,0.105,0.491,127.93,234787,4,"k-pop, k-pop boy group"
2,7eBpUuPnDTfbeP1P4P93CS,BSS,Fighting (Feat. Lee Young Ji),0.707,0.86,11,-2.935,0,0.191,0.103,0,0.0989,0.922,152.026,204467,4,k-pop
2,0xZ4WU5UfctiSeETi6pMEo,SEVENTEEN,God of Light Music,0.576,0.965,11,-3.462,0,0.11,0.0834,0,0.256,0.781,139.87,91960,4,"k-pop, k-pop boy group"
2,37S86pw74OH8j96ZmMnrpR,IU,YOU&I,0.636,0.9,6,-3.568,1,0.0571,0.286,1.47e-06,0.0982,0.686,134.004,241839,4,"k-pop, pop"
2,7iT56ss42YdtYnNQEnxp9Z,G-DRAGON,WHO YOU?,0.751,0.731,1,-4.38,1,0.214,0.204,0,0.198,0.763,90.033,201428,4,"k-pop, k-rap"
2,3qHBjPdFZeS0tfXywAxOKq,BIGBANG,Sunset Glow,0.756,0.87,8,-2.27,1,0.0543,0.0896,0,0.141,0.618,124.983,204920,4,"k-pop, k-pop boy group"
2,6UGiaIJTytlixn5WDidlED,INFINITE,Tell Me,0.667,0.796,2,-3.128,1,0.0492,0.177,0,0.106,0.531,109.9,231079,4,"k-pop, k-pop boy group"
2,1sZBzYhrQG40zcSuKkI93c,LE SSERAFIM,Good Parts (when the quality is bad but I am),0.785,0.679,0,-4.907,1,0.0379,0.516,0,0.417,0.616,121.121,156355,4,k-pop girl group
2,7CZRguMolNqIobnXxpV735,IU,Coin,0.725,0.879,1,-3.351,1,0.101,0.00849,1.25e-06,0.316,0.71,118.092,193080,4,"k-pop, pop"
2,4eiPbjcTEJDQcsv7WV0vfD,TAEYEON,Why,0.615,0.879,6,-3.275,0,0.0377,0.0702,0,0.0581,0.315,105.026,207777,4,k-pop
2,784qSLhmIjbc37plSfaPzF,BIGBANG,Love Song,0.554,0.868,2,-3.9,1,0.0455,0.00273,1.06e-05,0.0725,0.301,123.04,225813,4,"k-pop, k-pop boy group"
2,7DcZMBsTENtzXW0hVq2fpm,INFINITE,Nothing's over,0.674,0.92,11,-3.277,1,0.102,0.0328,0,0.0568,0.725,127.916,199600,4,"k-pop, k-pop boy group"
2,2pSTlAho8T5oJ3GjrOvfZn,BOL4,We loved,0.635,0.473,3,-3.919,1,0.0393,0.772,0,0.0933,0.4,85.101,194627,4,k-pop
2,38Dwg8OrUClCZl2wzUKrmi,IU,Modern Times,0.489,0.805,10,-3.325,1,0.0857,0.631,0,0.186,0.696,199.923,205558,4,"k-pop, pop"
2,6LnEoRQKMcaFTR5UvaKuBy,SEVENTEEN,Rock with you,0.621,0.816,11,-5.242,1,0.104,0.0966,0,0.134,0.694,163.966,180360,4,"k-pop, k-pop boy group"
2,6mTFH5acKqe2fpxuFmiDjr,BIGBANG,Love Dust (사랑 먼지),0.663,0.757,0,-5.336,1,0.0857,0.0337,0,0.267,0.56,129.888,231816,4,"k-pop, k-pop boy group"
