prefer,track_id,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
1,5vNRhkKd0yEAg8suGBpjeY,ROSÉ,APT.,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,169917,4,k-pop
1,74X2u8JMVooG2QbjRxXwR8,LE SSERAFIM,Perfect Night,0.697,0.82,5,-4.502,1,0.0308,0.1,0,0.0631,0.502,136.054,159080,4,k-pop girl group
1,3Kw7zkALCVxY4wmlnh2IWC,FIFTY FIFTY,Cupid - Twin Ver.,0.782,0.587,11,-8.3,0,0.0324,0.428,1.85e-06,0.337,0.76,120.041,174253,4,k-pop girl group
1,1hkeifGMiDQjXlvAsIoDaa,IVE,All Night (feat. Saweetie),0.769,0.793,1,-4.12,0,0.0471,0.126,0,0.343,0.351,124.011,197764,4,k-pop girl group
1,0bYVPJvXr8ACmw313cVvhB,BLACKPINK,Tally,0.691,0.636,2,-4.803,1,0.0305,0.00857,0,0.0939,0.464,129.912,184248,4,"k-pop, k-pop girl group, pop"
1,0v1x6rN6JHRapa03JElljE,BTS,Dynamite,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,199054,4,"k-pop, k-pop boy group, pop"
1,1XyzcGhmO7iUamSS94XfqY,TWICE,The Feels,0.808,0.903,9,-2.179,1,0.0729,0.0899,0,0.0816,0.922,120.044,198053,4,"k-pop, k-pop girl group, pop"
1,3VqeTFIvhxu3DIe4eZVzGq,BTS,Butter,0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997,164442,4,"k-pop, k-pop boy group, pop"
1,0LThjFY2iTtNdd4wviwVV2,BTS,Permission to Dance,0.702,0.741,9,-5.33,1,0.0427,0.00544,0,0.337,0.646,124.925,187585,4,"k-pop, k-pop boy group, pop"
1,6vo0dV9t7PCQZKsLFwVwZ5,SEVENTEEN,Darl+ing,0.71,0.686,0,-4.926,1,0.0713,0.296,0,0.492,0.483,96.06,176547,4,"k-pop, k-pop boy group"
1,4zHvWi4iFAG45lgiN7smLC,NAYEON,NO PROBLEM (Feat. Felix of Stray Kids),0.599,0.752,6,-3.165,1,0.13,0.0503,0,0.149,0.899,115.356,196160,4,k-pop
1,7njDhlprmHJ1I9pM0rxMON,FIFTY FIFTY,Barbie Dreams (feat. Kaliii) [From Barbie The Album],0.72,0.794,6,-2.644,1,0.0862,0.378,0,0.122,0.856,138.089,149438,4,
1,3bNNvJA7hsGw0wSpGkfOBm,Jung Kook,Too Sad to Dance,0.558,0.467,10,-6.292,1,0.0809,0.611,0,0.105,0.563,100.518,175912,4,k-pop
