class,track_id,artist,title,lyrics
1,5vNRhkKd0yEAg8suGBpjeY,ROSÉ,APT.,"채영이가 좋아하는 랜덤 게임
랜덤 게임
Game start
[Chorus: ROSÉ]
아파트, 아파트
아파트, 아파트
아파트, 아파트
Uh, uh-huh, uh-huh
아파트, 아파트
아파트, 아파트
아파트, 아파트
Uh, uh-huh, uh-huh

[Verse 1: ROSÉ]
Kissy face, kissy face
Sent to your phone, but
I'm tryna kiss your lips for real (Uh-huh, uh-huh)
Red hearts, red hearts
That's what I'm on, yeah
Come give me somethin' I can feel, oh-oh, oh
[Pre-Chorus: ROSÉ]
Don't you want me like I want you, baby?
Don't you need me like I need you now?
Sleep tomorrow, but tonight, go crazy
All you gotta do is just meet me at the
You might also like[Chorus: ROSÉ]
아파트, 아파트
아파트, 아파트
아파트, 아파트
Uh, uh-huh, uh-huh
아파트, 아파트
아파트, 아파트
아파트, 아파트
Uh, uh-huh, uh-huh

[Verse 2: Bruno Mars, Bruno Mars & ROSÉ]
It's whatever (Whatever), it's whatever (Whatever)
It's whatever (Whatever) you like (Woo)
Turn this 아파트 into a club (Uh-huh, uh-huh)
I'm talkin' drink, dance, smoke, freak, party all night (Come on)
건배, 건배, girl, what's up? Oh-oh, oh
[Pre-Chorus: Bruno Mars & ROSÉ]
Don't you want me like I want you, baby?
Don't you need me like I need you now?
Sleep tomorrow, but tonight, go crazy
All you gotta do is just meet me at the

[Chorus: ROSÉ & Bruno Mars]
아파트, 아파트
아파트, 아파트
아파트, 아파트
Uh, uh-huh, uh-huh
아파트, 아파트
아파트, 아파트
아파트, 아파트
Uh, uh-huh, uh-huh
[Bridge: ROSÉ, ROSÉ & Bruno Mars]
Hey, so now you know the game
Are you ready?
'Cause I'm comin' to get ya, get ya, get ya
Hold on, hold on
I'm on my way
Yeah, yeah, yeah-yeah, yeah
I'm on my way
Hold on, hold on
I'm on my way
Yeah, yeah, yeah-yeah, yeah
I'm on my way
[Pre-Chorus: ROSÉ & Bruno Mars]
Don't you want me like I want you, baby?
Don't you need me like I need you now?
Sleep tomorrow, but tonight, go crazy
All you gotta do is just meet me at the

[Chorus: ROSÉ & Bruno Mars, ROSÉ, Bruno Mars]
아파트, 아파트
아파트, 아파트
아파트, 아파트
Just meet me at the (Uh, uh-huh, uh-huh)
아파트, 아파트
아파트, 아파트
아파트, 아파트
Just meet me at the (Uh, uh-huh, uh-huh)
아파트, 아파트
아파트, 아파트
아파트, 아파트
Just meet me at the (Uh, uh-huh, uh-huh)
아파트, 아파트
아파트, 아파트
아파트, 아파트
Uh, uh-huh, uh-huh17Embed"
1,74X2u8JMVooG2QbjRxXwR8,LE SSERAFIM,Perfect Night,"Me and my girlies
We gon' party 'til it's early
Got me feelin' otherworldly tonight
Caught in some traffic
But the radio is blastin'
Drop a red light and we'll sing it goodbye

[Pre-Chorus: Sakura]
Ooh, ooh-ooh-ooh
By the mornin', feel like magic

[Chorus: Kim Chaewon, Kazuha]
I got all I need
You know nothing else can beat
The way that I feel when I'm dancin' with my girls
Perfect energy
Yeah, we flawless, yeah, we free
There's no better feelin' in the whole wide world

[Post-Chorus: Huh Yunjin, Hong Eunchae]
Tonight
I don't care what's wrong or right
Don't start blowin' up my line
I'd care at 11:59
But nothing counts after midnight
You might also like[Verse 2: Sakura, Kazuha]
Come and take a ride with me
I got a crеdit card and some good company
Some come through, makе the fit real good
Why you still stuck on loading? Waitin' on you, babe

[Pre-Chorus: Kim Chaewon]
Ooh, ooh-ooh-ooh
Night to mornin', live slow motion

[Chorus: Sakura, Huh Yunjin]
I got all I need
You know nothing else can beat
The way that I feel when I'm dancin' with my girls
Perfect energy
Yeah, we flawless, yeah, we free
There's no better feelin' in the whole wide world

[Post-Chorus: Hong Eunchae, Huh Yunjin]
Tonight
I don't care what's wrong or right
Don't start blowin' up my line
I'd care at 11:59
But nothin' counts after midnight

[Interlude: Sakura]
Oh
Oh, oh (Ha-ha-ha)
[Pre-Chorus: Kazuha]
Ooh, ooh-ooh-ooh
By the mornin', feel like magic

[Chorus: Hong Eunchae, Kim Chaewon, Huh Yunjin]
I got all I need
You know nothing else can beat
The way that I feel when I'm dancin' with my girls (Yeah)
Perfect energy (Uh-huh)
Yeah, we flawless, yeah, we free
There's no better feelin' in the whole wide world

[Post-Chorus: Huh Yunjin, Kim Chaewon]
Tonight
I don't care what's wrong or right
Don't start blowin' up my line
I'd care at 11:59
Don't start blowin' up my lineEmbed"
1,3Kw7zkALCVxY4wmlnh2IWC,FIFTY FIFTY,Cupid - Twin Ver.,"La, la, la, la-la-la
La, la-la-la, la, la-la-la

[Verse 1: Aran, All]
ロマンチックな人生は諦めてたけど
周りはカップルばかりで
それを合図だと、受け止めるべきかな？
(Oh why, oh why, oh why, oh why?)

[Pre-Chorus: Sio, All]
寂しいよ
私を抱きしめてくれる恋人はいないかな
部屋に閉じこもって泣いちゃうよ
恋愛のことは疑心暗鬼になってしまう
それでももっともっと求めたくなるの

[Chorus: All]
キューピッドにセカンドチャンスをあげたのに
今ここにいるのは惨めな自分
その愛は本物じゃないってわからせたいのに
キューピッドは本当に馬鹿なんだね

[Verse 2: Aran]
毎日彼からの矢を探してるんだ
迷子になったのか、どこかへ飛んでしまったのかな？
待ってはいられないよね
11月から待ち続けてたけど
愛することってそんなに良いのかな？
You might also like[Pre-Chorus: Sio, All]
寂しいよ
私を抱きしめてくれる恋人はいないかな
部屋に閉じこもって泣いちゃうよ
恋愛のことは疑心暗鬼になってしまうわ
それでももっともっと求めたくなるの

[Chorus: All]
キューピッドにセカンドチャンスをあげたのに
今ここにいるのは惨めな自分
その愛は本物じゃないってわからせたいのに
キューピッドは本当に馬鹿なんだね

[Post-Chorus: All]
(Cupid is so dumb)

[Bridge: Aran, Sio]
恋愛がまるで上手くいかなくて
この気持ちが分かり合える人を探すばかり
私は馬鹿だよ
愛に飢えてるんだから

[Chorus: All, Aran, Sio]
キューピッドにセカンドチャンスをあげたのに
今ここにいるのは惨めな自分
その愛は本物じゃないってわからせたいのに
キューピッドは本当に馬鹿なんだね
キューピッドにセカンドチャンスをあげたのに
今ここにいるのは惨めな自分
その愛は本物じゃないってわからせたいのに
キューピッドは本当に馬鹿なんだね1Embed"
1,1hkeifGMiDQjXlvAsIoDaa,IVE,All Night (feat. Saweetie),"Green Day - Bobby Sox
Bleachers - Tiny Moves
Eladio Carrion - Bendecido
David Kushner - Skin and Bones
Joey Bada$$ - Passports & Suitcases (feat. KayCyy)
Mumford & Sons & Pharrell Williams - Good People
Megan Moroney - No Caller ID
EKKSTACY - alright (feat. The Kid LAROI)
Fivio Foreign - Same 24 (feat. Meek Mill)
9lives & Trippie Redd - MULTIMILLIONAIRE (feat. Odetari)
Benson Boone - Beautiful Things
Cage The Elephant - Neon Pill
Adrianne Lenker - Sadness As A Gift
Khruangbin - A Love International
DESTIN CONRAD - WAR!
Blxst - Hеart Ain't Empty
Asake - Only Me
ericdoa - lastjunе
Kygo & Ava Max - Whatever
Kungs, David Guetta & Izzy Bizu - All Night Long
Lil Dicky - HAHAHA
UMI - SHOW ME OUT
Rob49 & Lil Wayne - Wassam Baby
IVE - All Night (feat. Saweetie)
BUNT. - Moment
Prince Royce - Cosas de la Peda (feat. Gabito Ballesteros)
Mitchell Tenpenny - Breaking My Heart
Andra Day - Where Do We Go
Norah Jones - Running
Jelani Aryeh - I'm in Love
Sett - CBFW (feat. Lil Baby)
Yandel - Karma
Rachel Chinouriri - Never Need Me
Neck Deep - Dumbstruck Dumbf**k
Declan McKenna - Mulholland's Dinner and Wine
Zara Larsson - You Love Who You Love
Becky Hill & Sonny Fodera - Never Be Alone
Finesse2tymes - Fat Boy (feat. Rick Ross)
Naomi Sharon - Nothing Sweeter
Sierra Ferrell - Dollar Bill Bar
AURORA - The Conflict of the Mind
Luis Fonsi - Santiago
Jonas Blue, Sam Feldt, Endless Summer & Sadie Rose Van - Rest Of My Life
Maggie Lindemann - hostage
Lutalo & Claud - Running
Owen Riegling - Home Less
Knox - Here's To Us
IDLES - Gift Horse
Keyon Harrold - Beautiful Day (feat. PJ Morton)
Nia Archives - Crowded Roomz
1999 WRITE THE FUTURE, Offset & Warren Hue - SLOPES
Lunay, Rusherking, Boza & Revol - Hora y Lugar
Kxllswxtch - SOS
Brittney Spencer - I Got Time
AJ Mitchell - Foolish
Kyle Dion - Kissy
Russ Millions & Fivio Foreign - Canarsie
Vintage Culture, Maverick Sabre & Tom Breu - Weak
Kenia OS & Álvaro Díaz - Bobo
1K Phew & Zaytoven - Let Go Let God
Katherine Li - Really Mean It
Sleater-Kinney - Hunt You Down
PACKS - Her Garden
Chase Matthew - We All Grow Up
Marcus King - F*ck My Life Up Again
Adi Oasis - Serena
Conway the Machine & Cool & Dre - Give & Give
Johnny Yukon - Lights, Camera, Action!
Shygirl & Boys Noize - tell me
Allie X - Off With Her Tits
Jazmin Bean - You Know What You've Done
Saweetie & P-Lo - Do It For The Bay
Anycia & Latto - BACK OUTSIDE
Chikoruss - In 2 Deep
RENEE - El Disfraz
Sammy Virji - Moonlight🕒
Calum Scott - Lighthouse
Novo Amor - Years On
Niko Moon - BETTER DAYS
Mae Stephens - ADHD
X Ambassadors - No Strings
Amira Elfeky - A Dozen Roses
Robin Schulz & Topic - One By One (feat. Oaks)
Steve Angello - ME🕒
R3 DA Chilliman - To Da Face (feat. Ohgeesy)
G Perico, Peezy & Steelz - Ghetto Clicc
Junior Zamora - Hielo
Pip Millett & Rae Khalil - Eating out
Mother Mother - Nobody Escapes
Michael Gerow - Sorry Ain't Enough
DBN Gogo, PRVIS3 & Triple X Da Ghost - STINGRAY (feat. Durban's Finest & Effected)🕒
Fredo Bang - Dat Business
Z Money & Key Glock - Money & Glocks🕒
NMIXX - DASH
Andrea Bejar & Danny Schiller - Pececitos
Good Neighbours - Home
Madi Diaz - Everything Almost
Major League Djz & Victony - Margaret
Jubël - Lie To Me (feat. KIDDO)Embed"
1,0bYVPJvXr8ACmw313cVvhB,BLACKPINK,Tally,"I say ""fuck it"" when I feel it
'Cause no one's keepin' tally
I do what I want with who I like
I ain't gon' conceal it
While you talkin' all that shit
I'll be gettin' mine, gettin' mine

[Verse 1: Lisa]
Don't apologize for my behavior
If you're offended, I don't care
Starin' at me 'stead of starin' in the mirror
Little weird how

[Pre-Chorus: Jisoo]
Everybody tells me to play nice
Everybody judge, but looking twice
But my body don't belong to, nah-uh-uh, none of them though
And I'm not gonna change 'cause you say so

[Chorus: Jennie, Rosé]
I say ""fuck it"" when I feel it
'Cause no one's keepin' tally
I do what I want with who I like
I ain't gon' conceal it
While you talkin' all that shit
I'll be gettin' mine, gettin' mine
Yeah, I say ""fuck it"" when I feel it
'Cause no one's keepin' tally
I do what I want with who I like
And I ain't gon' conceal it
I'll just do it like the boys say
I'm gettin' mine, gettin' mine
You might also like[Verse 2: Lisa]
Told me to play it cool
I break the rules, I'm breaking hearts in two
Warned me to make the rules
Or play the fool, it ain't that hard to choose
Take apart the dos and don'ts
And lose the won'ts, I'm gettin' mine
Mines is mine, yours is mine
This is mine, get in line

[Verse 3: Jennie]
Sometimes, I like to go play dirty
Just like all of the fuck boys do
That's my choice and there's no one I'm hurting
And that's not girly

[Pre-Chorus: Rosé]
Everybody tells me to play nice
Everybody judge, but lookin' twice
But my body don't belong to, nah-uh-uh, none of them though
And I'm not gonna change 'cause you say so

[Chorus: Jisoo, Lisa]
I say ""fuck it"" when I feel it
'Cause no one's keepin' tally
I do what I want with who I like
I ain't gon' conceal it
While you talkin' all that shit
I'll be gettin' mine, gettin' mine
Yeah, I say ""fuck it"" when I feel it
'Cause no one's keepin' tally
I do what I want with who I like
And I ain't gon' conceal it
I'll just do it like the boys say
I'm gettin' mine, gettin' mine
[Outro: Jennie, Rosé]
(Yeah, I say ""fuck it"" when I feel it)
(And I ain't gon' conceal it)29Embed"
1,0v1x6rN6JHRapa03JElljE,BTS,Dynamite,"'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight

[Verse 1: Jung Kook]
Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
Sing-song when I'm walkin' home
Jump up to the top, LeBron
Ding-dong, call me on my phone
Ice tea and a game of ping pong

[Pre-Chorus: RM, j-hope]
This is gettin' heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Hey, so let's go

[Chorus: Jung Kook, Jimin]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh
You might also like[Verse 2: V,  V & Jin, RM]
Bring a friend, join the crowd, whoever wanna come along
Word up, talk the talk, just move like we off the wall
Day or night, the sky's alight, so we dance to the break of dawn (Hey)
Ladies and gentlemen, I got the medicine, so you should keep ya eyes on the ball (Huh)

[Pre-Chorus: SUGA, Jimin, RM]
This is gettin' heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Let's go

[Chorus: Jung Kook, V]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Post-Chorus: Jung Kook & Jimin, Jung Kook, Jin]
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Bridge: Jung Kook, Jimin, Jin,  V ]
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
[Chorus: Jimin, Jung Kook, Jin]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite
(This is ah) 'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Alight, oh)
Shinin' through the city with a little funk and soul
So I'ma light (Light) it (It) up (Up) like (Like) dynamite (Dynamite), woah-oh-oh

[Post-Chorus: Jimin, Jin, V]
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Life is dynamite)
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Oh)
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh299Embed"
1,1XyzcGhmO7iUamSS94XfqY,TWICE,The Feels,"Boy, I, boy, I, boy, I know
I know you get the feels (Yeah)
Boy, I, boy, I, boy, I know

[Verse 1: Nayeon, Momo, Sana, Tzuyu]
Uh, I'm so curious
’Bout ya boy, wanna keep it cool
But I know everytime you move
Got me frozen, I
Get so shy, it's obvious (Yeah, yeah)
Catching feels like butterflies
If I say what's on my mind
Would I hit bullseye? (Woo)
Shoot! I’m ready, aim and fire (Fire!)

[Refrain: Tzuyu, Jihyo, Dahyun, Nayeon]
Baby, I (Woah, wow)
Feel like Cupid's alive
Ali-i-ive tonight
Yeah, tonight
If your heart beats the same way
Let me know (Yeah, let me know)
'Cause I'm boom-boom-boom
From head to toe and I (From head to toe)
You might also like[Pre-Chorus: Mina, Chaeyoung, Jeongyeon]
I know love
It is such a funny thing
A mystery allure
Gotta get to know you more
'Cause I, I can feel a real connection
A supernatural attraction-ah
I got the feels for you, yeah, yeah, yeah, yeah

[Chorus: Nayeon, Jihyo]
You have stolen my heart, oh, yeah (Oh, yeah)
Never let it go-oh-oh
No, never let it go-oh, oh-oh, oh-oh, oh
Lightning straight to my heart, oh, yeah (Oh, yeah)
I got all the feels for sure
Yeah, I got all the feels for ya

[Post-Chorus: Momo, Nayeon, Jihyo]
Boy, I, boy, I, boy, I know
I know I get the feels
Boy, I, boy, I, boy, I know
I know you feel it too

[Verse 2: Sana, Tzuyu, Chaeyoung, Dahyun]
(Uh-uh)
Sway in the moonlight, dance in the dark (Yeah, yeah)
I, I know that I caught your eye (That's right)
Are we on the same vibe? (Same vibe)
I wonder what's on your mind
'Cause you got me good and I wanna be ya boo
If it’s dumb, well, I wanna be a fool (Woo, woo, woo!)
Underneath the neon lights, baby
Electricity tonight, baby
[Pre-Chorus: Mina, Chaeyoung, Jeongyeon, Jihyo]
I know love
It is such a funny thing (Yeah)
A mystery allure
Gotta get to know you more (No)
’Cause I, I can feel a real connection (Connection)
A supernatural attraction-ah  (Attraction, ah)
I got the feels for you, yeah, yeah, yeah, yeah (Ah)

[Chorus: Nayeon, Jihyo]
You have stolen my heart, oh, yeah (Oh, yeah)
Never let it go-oh-oh
No, never let it go-oh, oh-oh, oh-oh, oh
Lightning straight to my heart, oh, yeah (Oh, yeah)
I got all the feels for sure
Yeah, I got all the feels for ya (Oh, yeah)

[Post-Chorus: Sana, Nayeon, Momo, Jihyo]
Boy, I, boy, I, boy, I know
I know I get the feels
Boy, I, boy, I, boy, I know
I know you feel it too
Boy, I, boy, I, boy, I know
I know I get the feels
Boy, I, boy, I, boy, I know
I know you feel it too (Feel it too)
[Bridge: Mina, Tzuyu, Nayeon]
You got my attention (Oh)
So, what's your intention? (Oh)
Yeah, tell me, baby, what’s the deal?
Oh, one look and I know it
Baby, my eyes reveal
That you, you, you give me the feels, oh, yeah

[Chorus: Jeongyeon, Jihyo, Nayeon]
You have stolen my heart, oh, yeah (Oh, yeah)
Never let it go-oh-oh (No, no)
No, never let it go-oh, oh-oh, oh-oh, oh (No, no)
Lightning straight to my heart, oh, yeah (Oh, yeah-ah, I)
I got all the feels for sure
Yeah, I got all the feels for ya

[Post-Chorus: Chaeyoung, Nayeon, Momo, Jihyo]
Boy, I, boy, I, boy, I know (The feels)
I know I get the feels (The feels) (Oh, yeah)
Boy, I, boy, I, boy, I know (Ayy) (Yeah, yeah, yeah)
I know you feel it too  (Yeah, yeah, yeah)
Boy, I, boy, I, boy, I know (The feels) (The feels, come on)
I know I get the feels (The feels)
Boy, I, boy, I, boy, I know (Ayy)
I know you feel it too (Yeah)33Embed"
1,3VqeTFIvhxu3DIe4eZVzGq,BTS,Butter,"Smooth like butter
Like a criminal undercover
Gon' pop like trouble
Breakin' into your heart like that (Ooh)
Cool shade stunner
Yeah, I owe it all to my mother
Hot like summer
Yeah, I'm makin' you sweat like that
Break it down

[Pre-Chorus: Jin & RM]
Ooh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow so (Ooh)
Do the boogie like

[Chorus: Jung Kook, Jimin & V]
Side step, right, left to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step, right, left to my beat
Get it, let it roll

[Verse 2: Jung Kook, V, Jin & SUGA]
Smooth like butter
Pull you in like no other
Don't need no Usher
To remind me you got it bad
Ain't no other
That can sweep you up like a robber
Straight up, I got ya
Makin' you fall like that
Break it down
You might also like[Pre-Chorus: Jimin & RM]
Ooh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow so (Ooh)
Do the boogie like

[Chorus: Jimin, Jin & Jung Kook]
Side step, right, left to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step, right, left to my beat
Get it, let it roll

[Post-Chorus: Jimin]
Get it, let it roll
Get it, let it roll

[Verse 3: SUGA, RM & All]
Ice on my wrist, I'm the nice guy
Got the right body and the right mind
Rollin' up to party, got the right vibe
Smooth like (Butter), hate us (Love us)
Fresh boy pull up and we lay low
All the playas get movin' when the bass low
Got ARMY right behind us when we say so
Let's go
[Chorus: V, Jin, Jung Kook & Jimin]
Side step, right, left to my beat (Right, left to my beat)
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap (You know that talk is cheap)
Side step, right, left to my beat
Get it, let it roll
[Post-Chorus: j-hope, j-hope & RM, RM, All]
Smooth like (Butter), cool shade (Stunner)
And you know we don't stop
Hot like (Summer), ain't no (Bummer)
You be like, oh my god
We gon' make you rock and you say (Yeah)
We gon' make you bounce and you say (Yeah)
Hotter? Sweeter! Cooler? Butter!

[Outro: Jung Kook]
Get it, let it roll286Embed"
1,0LThjFY2iTtNdd4wviwVV2,BTS,Permission to Dance,"It's the thought of being young
When your heart's just like a drum
Beating louder with no way to guard it
When it all seems like it's wrong
Just sing along to Elton John
And to that feeling, we're just getting started

[Pre-Chorus: Jimin, Jin]
When the nights get colder
And the rhythms got you falling behind
Just dream about that moment
When you look yourself right in the eye, eye, eye
Then you say

[Chorus: Jung Kook, V]
I wanna dance
The music's got me going
Ain't nothing that can stop how we move, yeah
Let's break our plans
And live just like we're golden
And roll in like we're dancing fools

[Post-Chorus: Jimin, RM, Jin]
We don't need to worry
'Cause when we fall, we know how to land
Don't need to talk the talk, just walk the walk tonight
'Cause we don't need permission to dance
You might also like[Verse 2: j-hope, SUGA, Jung Kook]
There's always something that's standing in the way
But if you don't let it faze ya
You'll know just how to break
Just keep the right vibe, yeah
'Cause there's no looking back
There ain't no one to prove
We don't got this on lock (Yeah)

[Pre-Chorus: V, Jung Kook, Jimin]
The wait is over
The time is now so let's do it right, mm (Yeah)
Yeah, we'll keep going
And stay up until we see the sunri-i-ise (Yeah)
And we'll say

[Chorus: V, Jin]
I wanna dance
The music's got me going
Ain't nothing that can stop how we move, yeah
Let's break our plans
And live just like we're golden
And roll in like we're dancing fools

[Post-Chorus: Jung Kook, j-hope, Jimin]
We don't need to worry
'Cause when we fall, we know how to land
Don't need to talk the talk, just walk the walk tonight
'Cause we don't need permission to dance
[Refrain: Jin, Jung Kook]
Da-na-na-na-na-na-na
Da-na-na-na-na-na-na
Da-na-na-na-na-na-na
No, we don't need permission to dance
Da-na-na-na-na-na-na (Hey)
Da-na-na-na-na-na-na
Da-na-na-na-na-na-na

[Bridge: Jimin, V]
Well, let me show ya
That we can keep the fire alive, mm
'Cause it's not over
'Til it's over, say it one more time
Say

[Chorus: Jung Kook, Jimin]
I wanna dance
The music's got me going (Music's got me going)
Ain't nothing that can stop how we move, yeah (Hey, yeah)
Let's break our plans
And live just like we're golden (Ooh)
And roll in like we're dancing fools (Like we're dancing fools)

[Post-Chorus: Jin, SUGA, V, Jung Kook]
We don't need to worry
'Cause when we fall, we know how to land (We know how to land)
Don't need to talk the talk, just walk the walk tonight (Ooh)
'Cause we don't need permission to dance109Embed"
1,6vo0dV9t7PCQZKsLFwVwZ5,SEVENTEEN,Darl+ing,"Ourealgoat - 나비처럼 (BUTTERFLY) - 4/4
Queendom 2 Part 1-1 - 5/5
Kim Yeji - ""Save Me""
sunwoojunga - ""터트려 (Burst it all)""

4/2 (토)
LEE SEUNG HYUB (J.DON) - ""Red Light""
LYn - ""Open Your Heart""

4/3 (일)
Dept - Begin again - 4/4
Forecasting Love and Weather OST Special - 31/31
Twenty-Five Twenty-One OST - 43/43
Moon Sujin - ""It's Up To You""
NATURE - ""Starry Night""

4/4 (월)
Eluphant - 코끼리 공장의 해피엔드 : 졸업식 (Graduation) - 2/2
ILY:1 - 사랑아 피어라 (Love In Bloom) - 4/4
KWON EUN BI - Color - 6/6
SUHO - Grey Suit - 6/6
4/5 (화)
IVE - LOVE DIVE - 2/2
BIGBANG - ""봄여름가을겨울 (Still Life)""
Isaac Hong - ""Dive in""
KIM SEJEONG - ""사랑인가 봐 (Love, Maybe) (Acoustic Ver.)""
4/6 (수)
Business Proposal OST - 35/35
🇯🇵 ITZY - Voltage - 4/4
🇯🇵 Red Velvet - Bloom - 11/11
Hong Jin Young - VIVA LA VIDA - 3/3
4/7 (목)
GHOST9 - ARCADE : V - 6/6
Mark Tuan - ""save me""

4/8 (금)
Queendom 2 Part 1-2 - 4/4
24kGoldn & sokodomo - ""SCAR""
🇺🇸 BamBam - ""Wheels Up"" ft. MAYZiN
🇺🇸 eaJ - ""Car Crash""
Jay Park & Spray - ""SHOWDOWN"" ft. lIlBOI
🇨🇳 LAY - ""酒 (JIU)""

4/9 (토)
ChoA - ""Yesterday""
WENDY - ""GIRLS""

4/11 (월)
EPEX - Prelude of Anxiety Chapter 1. '21st Century Boys' - 5/5
ONEW - DICE - 6/6
4/12 (화)
DKZ - CHASE EPISODE 2. MAUM - 2/2
DREAMCATCHER - [Apocalypse : Save us] - 14/14
BE'O - ""LOVE me""

4/13 (수)
Jessi - ""ZOOM""

4/14 (목)
JUST B - JUST BEGUN - 5/5
HA SUNG WOON - ""LA LA POP!""
TAEYONG & Wonstein - ""Love Theory""
YEZI - ""No Name""

4/15 (금)
Queendom 2 Part 2-1 - 3/3
Onestar, PARK WOO JIN - ""넌 나 어때 (How About Me) (re;code Episode Ⅹ)""
🇺🇸 SEVENTEEN - ""Darl+ing""
SORN - ""Scorpio""

4/16 (토)
HEIZE - ""마지막 너의 인사 (The Last)""
Lee Ju Hyung - ""함께 할 수 있기를 (To be together)""
SURAN - ""나의 외로움이 널 부를 때 (My Loneliness Calls You)""

4/17 (일)
Lim Young Woong - ""IM HERO - 우리들의 블루스""
Whee In - ""D-DAY""
4/18 (월)
ELO - Reality Check - 10/10
4/19 (화)
HA:TFELT - LEFT - 4/4
Apink - ""나만 알면 돼 (I want you to be happy)""

4/20 (수)
BOL4 - Seoul - 5/5
YOUNITE - YOUNI-BIRTH - 6/6
JEON SOYEON - ""FREAK SHOW""

4/21 (목)
Baek A Yeon - ""당신의 밤이 그만 불안하기를 (There, There)""
VVON - ""Hold Up"" ft. Coogie & SUMIN

4/22 (금)
KIM SUNG KYU - SAVIOR - 6/6
Queendom 2 Part 2-2 - 3/3
Nam Woo Hyun - ""Shooting Star""
RYEOWOOK - ""파랑새 (Bluebird)""
Yun Ddan Ddan - ""말할 수 없는 비밀 (Secret)""

4/24 (일)
JIMIN (BTS) & HA SUNG WOON - ""With you""

4/25 (월)
VERIVERY - SERIES 'O' ROUND 3: WHOLE - 13/13
4/26 (화)
LEE SU JEONG - My Name - 6/6
MONSTA X - SHAPE of LOVE - 6/6
4/27 (수)
BUSTERS - re;Born - 3/3
E'LAST - ROAR - 7/7
ICHILLIN' - Bridge of Dreams - 7/7
MIYEON - MY - 6/6
SOYOU - Day & Night - 5/5
Yoon Jisung - 미로 (薇路) (MIRO) - 5/5
BOOKKU DDOONG - ""쑥맥 (SSOOK DDOONG) ft. Yoojung of Weki Meki

4/28 (목)
DKB - REBEL - 4/4
MINSEO - ""내 맘대로 (#Self_Trip)""
Moon Byul - C.I.T.T (Cheese in the Trap) - 2/2
TAEYEON - iScreaM Vol.15 : INVU (Remixes) - 3/3
Ji Chang Wook & Choi Sung Eun - ""아저씨. 마술을 믿으세요? (Annarasumanara)""
Kevin (T1419) - ""Flyin""
VIVIZ - ""Bop Bop (YVES V Remix)""

4/29 (금)
PSY - PSY 9th - 12/12
Kang Daniel - ""Ready to ride""Embed"
