class,track_id,artist,title,lyrics
1,4WVJeRP6hjMMBkmWsV4TtF,ONE OK ROCK,Make It Out Alive,"Run away, run away, run away
You don't know who to run from
Nowhere to go, don't wanna go, nowhere to go
No road is left to run on
I was born, I was born with horns
Demons couldn't shake me up
Bring it up, bring it out, bring it on
'Cause we haven't had enough

[Pre-Chorus]
Won't give up the fight

[Chorus]
Make it out alive
Set this world on fire now
Woah (Woah), woah (Woah)
Don't give up
It's gonna be alright
'Cause I won't let you burn out
Woah (Woah), woah (Woah)
We gotta make it out alive

[Verse 2]
Tonight, tonight, tonight
I'm screamin' on the inside
I was tryin' to hide, tryin' to hide, tryin' to hide
Not ready for this ride
Gotta face, gotta face the unknown
It's the only way to live
I'm ready to go, ready to go, ready to go
Somewhеre I've nevеr been
You might also like[Pre-Chorus]
Won't give up the fight

[Chorus]
Make it out alive
Set this world on fire now
Woah (Woah), woah (Woah)
Don't give up
It's gonna be alright
'Cause I won't let you burn out
Woah (Woah), woah (Woah)
We gotta make it out alive

[Instrumental Bridge]

[Chorus]
Make it out alive
Set this world on fire now
Woah (Woah), woah (Woah)
Don't give up
It's gonna be alright
'Cause I won't let you burn out
Woah (Woah), woah (Woah)
We gotta make it out alive

[Outro]
(Make it out, make it out, make it out)
(Woah, yeah, woah)
We gotta make it out alive
(Make it out, make it out, make it out)
(Yeah, we make it, we make it out)
We gotta make it out alive3Embed"
1,2A4wfplwsIXUUD3UVirWDd,BABYMETAL,KARATE,"
[Guitar Solo]

[Refrain: Moametal & Yuimetal]
セイヤ セセセ セイヤ
セイヤ セセセ セイヤ
ソイヤ ソソソ ソイヤ
ソイヤ ソソソ ソイヤ

[Pre-Chorus: Moametal & Yuimetal, Sumetal]
(押忍)
涙こぼれても
(押忍)
立ち向かってゆこうぜ

[Chorus: Sumetal, Moametal & Yuimetal]
ひたすら セイヤ ソイヤ 戦うんだ
拳をもっと 心をもっと
全部 全部 研ぎ澄まして (Woah-woah-woah)
まだまだ セイヤ ソイヤ 戦うんだ
悲しくなって 立ち上がれなくなっても
(Ah 押忍 押忍)

[Guitar Solo]
See BABYMETAL LiveGet tickets as low as $44You might also like[Refrain: Moametal & Yuimetal]
セイヤ セセセ セイヤ
セイヤ セセセ セイヤ
ソイヤ ソソソ ソイヤ
ソイヤ ソソソ ソイヤ

[Pre-Chorus: Moametal & Yuimetal, Sumetal]
(押忍)
心折られても
(押忍)
立ち向かってゆこうぜ

[Chorus: Sumetal, Moametal & Yuimetal]
ひたすら セイヤ ソイヤ 戦うんだ
拳をもっと 心をもっと
全部 全部 研ぎ澄まして (Woah-woah-woah)
まだまだ セイヤ ソイヤ 戦うんだ
悲しくなって 立ち上がれなくなっても

[Post-Chorus: Moametal & Yuimetal]
(Woah-woah-woah)
(Woah-woah-woah)

[Bridge: Sumetal, Moametal & Yuimetal]
セイヤ ソイヤ 戦うんだ (Woah-woah-woah)
全部 全部 研ぎ澄まして (Woah-woah-woah)
セイヤ ソイヤ 戦うんだ (Woah-woah-woah)
全部 全部 研ぎ澄まして (Woah-woah-woah)
[Chorus: Sumetal, Moametal & Yuimetal]
ひたすらセイヤ ソイヤ 戦うんだ
拳をもっと 心をもっと
全部 全部 研ぎ澄まして (Woah-woah-woah)
まだまだ セイヤ ソイヤ 戦うんだ
悲しくなって 立ち上がれなくなっても

[Outro: Sumetal, Moametal & Yuimetal]
走れ
セイヤ ソイヤ 戦うんだ (Woah-woah-woah)
走れ
全部 全部 研ぎ澄まして
(Woah-woah-woah)
(Woah-woah-woah)
(Woah-woah-woah)
(Woah-woah-woah)1Embed"
1,4TzGD5Pryq8DTjv5QRuJaW,Bad Omens,Nowhere To Go,"Why's this always gotta happen to me? I should have known
I never fail to never learn from mistakes, still throwing stones
Blood-signed, we made a pact
Yours dried out, you took it back
And you know you are a paradox and you contradict
The road you walk, everything that you ever did
Cutting into my code
Erasing everything I know

[Pre-Chorus]
Hear me out
I'm sorry, but I'm a little less than sold
I've been around
Heard all the stories you said you never told

[Chorus]
You're used to speaking in tongues
To feel like you're in control
Now you've got nowhere to run
Now you'vе got nowhere to go

[Verse 2]
I feel my focus fadin' away, I had high hopes
Running from thе man that I used to be, but I'm too slow
Blood-signed, we made a pact
Yours dried out, you took it back
See Bad Omens LiveGet tickets as low as $190You might also like[Pre-Chorus]
Hear me out
I'm sorry, but I'm a little less than sold
I've been around
Heard all the stories you said you never told

[Chorus]
You're used to speaking in tongues
To feel like you're in control
Now you've got nowhere to run
Now you've got nowhere to go

[Bridge]
Tell me what's mine and tell me what's yours
Why I never got a say, never got a choice
Tell me what's mine and tell me what's yours
Why I never got a say, never got a choice
Tell me what's mine and tell me what's yours
Why I never got a say, never got a choice
Tell me what's mine and tell me what's yours
And why I never ever got a fucking say, oh

[Breakdown]
Are you ready?
I'm in the driver's seat now
Oh, oh
[Pre-Chorus]
Hear me out
I'm sorry, but I'm a little less than sold
I've been around
Heard all the stories you said you never told

[Chorus]
You're used to speaking in tongues
To feel like you're in control
Now you've got nowhere to run
Now you've got nowhere to go

[Outro]
Hear me out
I'm sorry, but I'm a little less than sold
I've been around
Heard all the stories you said you never told
You're used to speaking in tongues
To feel like you're in control
Now you've got nowhere to run
Now you've got nowhere to go1Embed"
1,5Uj6NgupVm7ByY1JXNYTp5,BAND-MAID,Choose me,"
[Intro]
Ai koso wane me ni mienai gensou
Ai aru nara subete sarakedashite
Aishiteru to mune ni kizamikon de
Sasageru never, ever

[Verse 1]
Are mo kore mo sore mo dore mo
Dekinai tarinai
Demo zenbu hoshiitte
Wagamama mo kiite hizamazuite
Listen to me, hey, my boy
Hold on, hold on, hold on, hold on
Dakishimeru dake ja mitasarenai
Excuse aishite hoshii nara
You make me crazy, oh

[Pre-Chorus]
Kuchibiru mitsumete misled by
Kagami ni utsuru watashi ni
Hohoemu akuma ga lies concealed

[Chorus]
Ai koso wane me ni mienai gensou
Ai aru nara subete sarakedashite
Aishiteru to mune ni kizamikon de
Sasageru never, ever
Just now ima sugu mitsukedashite
This will be the last one
Let's carry on, let's carry on
Motto tsuyoku
You might also like[Verse 2]
Amai dake ja monotarinai no
Shigeki o motto asonde tai
Give me give me mada nemuru made
I want your attention
Hung up, hung up, hung up, hung up
Kizuku no ga itsumo oso sugiru
All right yurushite hoshii nara
Don't tell me you're sorry, oh

[Pre-Chorus]
Kakugo ga nai nara say goodbye
Tanin no kotoba wa kankei nai
Nusumitotte mite my feeling

[Chorus]
Ai koso wane me ni mienai gensou
Ai aru nara subete sarakedashite
Aishiteru to mune ni kizamikon de
Sasageru never, ever
Just now ima sugu mitsukedashite
This will be the last one
Let's carry on, let's carry on
Motto fukaku

[Guitar Solo]
[Bridge]
I am lonely tsuyogari datte
Do you know? No, no, no, no
I didn't mean anything is okay
I choose you

[Chorus]
Ai koso wane me ni mienai gensou
Ai aru nara subete sarakedashite
Aishiteru to mune ni kizamikon de
Sasageru never, ever
Just now ima sugu mitsukedashite
This will be the last one
Let's carry on, let's carry on
Motto fukaku

[Guitar Solo]
Oborete to me
Oborete nee

[Outro]
I cannot wait forever
Kiken ni yurarete round and round
Tomadou nara mou disappear
Mayowazu choose meEmbed"
1,6S2iHbyPSlhQgCyAVQ2SO6,Catch Your Breath,Shame On Me,"If I close my eyes
I can see the home you built inside my mind
And I let it...

[Verse 1]
Did you write me off?
Did I care too much?
Can we call this love?
Are we too far gone?
Have we had enough?
You know it's not like you
To go and sugarcoat the truth
I see it on your lips
Your midnight trips
What's going on..

[Pre-Chorus]
Tell me now, tell me how
I'm breaking down and you're just fine

[Chorus]
If I close my eyes
I can see the home you built inside my mind
And I let it come to life
Let it set down roots where there was once a spine
Shame on me
Shame on me
You might also like[Verse 2]
Behind your walls (Behind your walls)
Are you listening at all? (Listening)
'Cause if I can't get through
I'm stuck like you, I can't move on

I try and try but if I...

[Chorus]
Close my eyes
I can see the home you built inside my mind
And I let it come to life
Let it set down roots where there was once a spine
Shame on me

[Bridge]
(Shame on me)
You run away when you just can't face it
Hide in the dark but you know you hate it
Made me believe in a life you didn't want
Shame on me
(Shame on me)

[Pre-Chorus]
Tell me now, tell me how
I'm breaking down and you're just fine
[Chorus]
If I close my eyes
I can see the home you built inside my mind
And I let it come to life
Let it set down roots where there was once a spine
Shame on me4Embed"
1,7tBbT0mu8TOhDciTPRsOMq,Against The Current,silent stranger,"Who are you with the lights out?
I don't feel right when I'm all alone
My human nature makes me a stranger
To everyone I know

[Pre-Chorus]
I know it's all lies I brought to life
Now I don't know how to be someone real
Hate that I fake the way that I feel

[Chorus]
Voices
Fill my head with noises
Drain me of this poison
'Cause I'm not who you think I've been
Frozen
I'm someone I don't know and
Cycle's never broken
And I'll die a silent stranger

[Verse 2]
Feels like I'm hiding in my skin
I'm such a coward and they all know
I'll never let them see my face
Cover my tracks and run away
You might also like[Pre-Chorus]
I know it's all lies I brought to life
Now I don't know how to be someone real
Hate that I fake the way that I feel

[Chorus]
Voices
Fill my head with noises
Drain me of this poison
'Cause I'm not who you think I've been
Frozen
I'm someone I don't know and
Cycle's never broken
And I'll die a silent stranger

[Bridge]
(And I'll die a si-)
(And I'll die)
Voices
Fill my head with noises
Drain me of this poison
(And I'll die a silent stranger)

[Chorus]
Voices (Voices)
Fill my head with noises (Noises)
Drain me of this poison (Drain me of this poison)
'Cause I'm not who you think I've been
Frozen (Frozen)
I'm someone I don't know and (Know and)
Cycle's never broken
And I'll die a silent strangerEmbed"
1,0Qc7UYagLJkUM8xZ3b7gKJ,If Not For Me,Feel Me Now,"With your hands around my throat
Watch me while I choke
Pray for us
I can't breathe in, can't breathe out
You're my fear and you're my doubt

[Verse 1]
I miss the void of your sin
I miss the taste of your skin
I don't know where to begin again
I hear the words from your mouth
But there is no easy way out
Some things are better when left unspoken now

[Pre-Chorus]
Can we start again somehow?
Tell me, can you feel me now?
'Cause I can't fight this by myself

[Chorus]
With your hands around my throat
Watch me while I choke
Pray for us
I can't breathe in, I can't breathe out
You'rе my fear and you're my doubt
I know therе's no room for hope
Can't you see?
I can't breathe in, I can't breathe out
You're my fear and you're my doubt
You might also like[Verse 2]
I know the things that you did
I've been a victim of it
Hold me to standards you've already broken now
I feel all the pressure building
I don't think I can fight it off
'Cause I gave you my everything and that was not enough
That was not enough

[Pre-Chorus]
Can we start again somehow?

[Chorus]
With your hands around my throat
Watch me while I choke
Pray for us
I can't breathe in, I can't breathe out
You're my fear and you're my doubt
I know there's no room for hope
Can't you see?
I can't breathe in, I can't breathe out
You're my fear and you're my doubt

[Refrain]
I can't breathe in, I can't breathe out
Tell me, can you feel me now?
I can't breathe in, I can't breathe out
Tell me, can you feel me now?
[Breakdown]

[Verse 3]
I wanna say, the person that I was was not okay
But you can't go and hand all of the blame to me
It's plain to see you weren't there for me
Don't turn away
Because I'd do anything to make you stay
Don't tell me I'm the one who walked away

[Chorus]
With your hands around my throat
Watch me while I choke
Pray for us
I can't breathe in, I can't breathe out
You're my fear and you're my doubt
I know there's no room for hope
Can't you see?
I can't breathe in, I can't breathe out
You're my fear and you're my doubt

[Outro]
Pray for us, I—
(I can't breathe in, I can't breathe out)
Can you feel me now?
Can't you see, I—
(I can't breathe in, I can't breathe out)
You're my fear and you're my doubtEmbed"
1,0M3adYbGtyRHACP86dey1H,Bring Me The Horizon,Throne,"Remember the moment you left me alone and
Broke every promise you ever made
I was an ocean, lost in the open
Nothin' could take the pain away

[Chorus]
So you can throw me to the wolves
Tomorrow I will come back, leader of the whole pack
Beat me black and blue
Every wound will shape me, every scar will build my throne

[Verse 2]
The sticks and the stones that you used to throw have
Built me an empire, so don't even try
To cry me a river, 'cause I forgive ya
You are the reason I still fight

[Chorus]
So you can throw me to the wolves
Tomorrow I will come back, leader of the whole pack
Beat me black and blue
Every wound will shape me, every scar will build my throne
So you can throw me to the wolves
Tomorrow I will come back, leader of the whole pack
Beat me black and blue
Every wound will shape me, every scar will build my throne
You might also like[Bridge]
I'll leave you choking on every word you left unspoken
Rebuild all that you've broken and now you know (Know)
I'll leave you choking on every word you left unspoken
Rebuild all that you've broken and now you know

[Chorus]
Every wound will shape me, every scar will build my throne
So you can throw me to the wolves
Tomorrow I will come back, leader of the whole pack
Beat me black and blue
Every wound will shape me, every scar will build my throne87Embed"
1,4Xe8ybuHb2CKiFc55bp8VZ,Of Mice & Men,Would You Still Be There,"If I could find the words, if I could shake the world
If I could turn back time would you still be there?

[Verse 1]
I can't stop thinking about the way
I left you sinking with no escape
Now there's no lifeline, no way to save
But maybe next time I won't throw it all away

[Pre-Chorus]
I ask myself everyday...

[Chorus]
If I could find the words, if I could shake the world
If I could turn back time would you still be there? (Be there)
If I could find the words to say
If I could shake the world to break you down
Then would you still be there? (Be there)

[Post-Chorus]
Would you still be there?
Would you still be there?

[Verse 2]
Dislocated, I lie awake
Suffocating in my mistakes
I lost my halo when I fell from grace
But maybe next time I won't throw it all away
You might also like[Pre-Chorus]
I ask myself everyday...

[Chorus]
If I could find the words, if I could shake the world
If I could turn back time would you still be there? (Be there)
If I could find the words to say
If I could shake the world to break you down
Then would you still be there? (Be there)

[Bridge]
There's no dancing around it
I crawl into the fire then fan the flames
And I can't stand it
And I can't stand it
But I don't have the strength to burn the page

[Middle 8]
If I could find the words, if I could shake the world
If I could turn back time would you still be there?
Be there!

[Chorus]
If I could find the words, if I could shake the world
If I could turn back time would you still be there? (Be there)
If I could find the words to say
If I could shake the world to break you down
Then would you still be there? (Be there)11Embed"
1,2F7E0EBbHsEqvwh7ulCfAv,Chrissy Costanza,If Looks Could Kill,"Throwing rocks at the windows to your soul, are you home?
Lay to rest here in your arms 'til we turn to bone

[Pre-Chorus]
A little bit, little bit, little bit more
Never felt anything like this before
Look at me, look at me, look at me and
Take me to heaven and right back again

[Chorus]
For a moment the world stood still
Darling, if looks could kill
I would never take my eyes off
No, I'd never take my eyes off you
I would die on this hill
Darling, if looks could kill
I would never take my eyes off
No, I'd never take my eyes off you

[Verse 2]
Wanna drown in your holy water, make me brand new
I know it's crazy but I think my death wish is you

[Pre-Chorus]
A little bit, little bit, little bit more
Never felt anything like this before
Look at me, look at me, look at me and
Take me to heaven and right back again
You might also like[Chorus]
For a moment the world stood still
Darling, if looks could kill
I would never take my eyes off
No, I'd never take my eyes off you
I would die on this hill
Darling, if looks could kill
I would never take my eyes off
No, I'd never take my eyes off you

[Bridge]
Throwing rocks at the windows to your soul, are you home?
Lay to rest here in your arms 'til we turn to bone
For a moment the world stood still
Darling, if looks could kill
No, I'd never take my eyes off
No, I'd never take my eyes off
I would die on this hill
Darling, if looks could kill
I would never take my eyes off
No, I'd never take my eyes off

[Chorus]
For a moment the world stood still
Darling, if looks could kill
I would never take my eyes off
No, I'd never take my eyes off you
I would die on this hill
Darling, if looks could kill
I would never take my eyes off
No, I'd never take my eyes off youEmbed"
