prefer,track_id,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
3,6YbhspuOar1D9WSSnfe7ds,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",0.553,0.652,0,-6.685,1,0.206,0.0897,0,0.111,0.551,94.505,207347,4,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap"
3,3AZU2sN8F2Hixkfs3ZQQz1,Massaka,Cehennemin Dibi,0.632,0.703,4,-6.821,1,0.317,0.086,1.86e-05,0.0942,0.472,82.137,158061,4,"turkish hip hop, turkish trap"
3,5xAuDWau6n9pEzN9pysxo3,Azet,FÜR ALLE BLOCKS,0.732,0.836,7,-5.725,1,0.347,0.062,0,0.356,0.735,93.532,158938,4,"albanian hip hop, german hip hop"
3,4JozYllOck6tf7mzJXcQqw,Twinz,Eastside LB,0.745,0.491,6,-9.62,0,0.219,0.0702,0,0.354,0.726,92.15,219267,4,"g funk, west coast rap"
3,55qnnjyxq5LuXq6WyZd9Er,Ice Cube,Ego Maniacs,0.812,0.875,1,-3.454,1,0.219,0.0461,0,0.469,0.747,94.963,218111,4,"conscious hip hop, g funk, gangster rap, hip hop, rap, west coast rap"
3,3rVFfe6xpxVCV9BeKSiniY,Sa4,Schnell machen,0.71,0.618,9,-5.227,1,0.343,0.353,1.76e-06,0.0815,0.631,91.02,214187,4,german hip hop
3,4XHQyvbrBsQaaBUW1VvmsL,D12,My Band,0.851,0.849,1,-3.383,0,0.0828,0.497,2.05e-06,0.116,0.844,120.014,298773,4,"detroit hip hop, gangster rap, hip hop"
3,3ia3dJETSOllPsv3LJkE35,2Pac,California Love - Original Version,0.763,0.85,7,-3.052,1,0.0417,0.0304,1.21e-06,0.371,0.761,91.519,284907,4,"g funk, gangster rap, hip hop, rap, west coast rap"
3,0kLA41xkWzzYzMIEGFuDkP,LX,HaifischNikez Allstars,0.764,0.744,11,-5.529,0,0.448,0.162,0,0.122,0.507,87.538,182925,4,"german hip hop, hamburg hip hop"
3,6mw02h3qbWmuq2bJCRjRAe,187 Strassenbande,Millionär,0.72,0.789,1,-5.255,1,0.339,0.176,6.4e-06,0.138,0.226,93.001,159212,4,"german hip hop, hamburg hip hop"
3,3dy7SaVShdnjwtx9IXhtzg,AK AUSSERKONTROLLE,In meinem Benz,0.784,0.668,6,-5.237,1,0.551,0.158,0,0.252,0.737,154.911,164203,4,german hip hop
3,2TWWbIe4aWGbbPBduYewWB,Snoop Dogg,Gorgeous (feat. Jhené Aiko),0.78,0.801,1,-2.575,1,0.176,0.0648,0,0.0704,0.826,99.987,176034,4,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap"
3,67z0ss2omCr9Dd8ezh7NnH,Kollegah,Mitternacht 2,0.495,0.615,9,-8.747,1,0.385,0.188,0,0.0935,0.278,175.82,242727,4,german hip hop
3,7q6lr1W6cmGWijl5kCv5RG,Eazy-E,Real Muthaphuckkin G's,0.735,0.797,11,-4.611,0,0.285,0.0174,0,0.62,0.731,170.444,332627,4,"g funk, gangster rap, hip hop, rap, west coast rap"
3,0CMgg7xeATgHXd9MmpO6rU,Tha Dogg Pound,Let's Play House,0.809,0.73,10,-5.745,0,0.0956,0.1,0.00303,0.0533,0.821,91.364,204521,4,"g funk, west coast rap"
3,3J0Tbmx0P6SyMAk4ZaQXMk,Kolja Goldstein,Alexander III.,0.553,0.814,0,-4.945,0,0.402,0.00112,0,0.0486,0.589,90.45,162371,4,german hip hop
3,1Z7C8ClE8UEaH70jCCeJH2,The Notorious B.I.G.,Ten Crack Commandments - 2014 Remaster,0.612,0.85,1,-4.703,1,0.5,0.0393,0,0.255,0.781,173.497,204027,4,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
3,119c93MHjrDLJTApCVGpvx,Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me),0.512,0.514,11,-11.562,0,0.387,0.555,0.00958,0.126,0.565,181.033,252027,4,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
