class,track_id,artist,title,lyrics
3,7iabz12vAuVQYyekFIWJxD,Central Cee,BAND4BAND (feat. Lil Baby),"I'm not in the mood cah my flight delayed
So I jumped on a private jet and I'm askin' the pilot the ETA
Lambo' parked on the landin' strip, everyone in my gang and my DJ paid
Why's my man talkin' 'bout inshallah? These times, he don't even pray
Why's my man wearing a Jesus piece?
How does she squeeze in them jeans? Big behind and petitest waist
Take time with the GBG, we don't beef nobody like GBK
Woke up on the wrong side of bed, so he's gonna get slappеd if I don't have my P's today
I love my young boy, I won't lead him 'stray, I'm stuck to Lil Bro likе PVA
Paid already, I don't need no hit song
We don't need ID, Lil Bro seventeen in the club, he ain't scrollin' TikTok
F's just saw him a thick one, ""Which one? Who do you want, bro? Pick one""
If I shoot my shot, I'll hit one, matter of time 'til I get them all ticked off
Alright

[Chorus: Central Cee & Lil Baby]
We can go band for band
Fuck that, we can go M for M
Quarter mil' for the Maybach truck
Double R with the factory rims
I got the 90, the Urus, the Virgil, the Brabus, I'm really a threat
It's got to the point that I don't even care
I got jewels in the safe that I don't even wear

[Verse 2: Lil Baby & Central Cee]
Uh, bro'll do it for some shoes and some clothes, you'll see what he'll do for a necklace
'Rari truck look like a spider, it's crawlin' a dollar on just accessories (Damn)
She made me wanna go harder, I like her whole aura, I think I'm obsessed with her
They hit him up on his birthday, did him the worst way, he had a death wish
I get right under they skin, I don't even try, I guess I can't help that shit
I'ma have love for bro for life if we talk or not, I step with him, nigga
Of course you can beat me at talkin', ain't no back-and-forth, wait 'til we catch up with them niggas
Knockin' a bag and makin' the opposite mad, I done fell in love with it
UK Selfridges with a cute one (Ooh)
Bank account look good, this a new one (Yeah)
You the type like to type on computers (Wow)
Got a mask, but he ain't no shooter (Haha)
Top ten, but she don't act bougie
Me and your friends can go to Aruba
Hit France, it depend on my mood
This a Maybach van, this ain't no Uber
We can go band for band
Fuck that, we can go M for M
Mama got a body like Kim and them
Mama been killin' that gym
We can go watch for watch, from chain to chain, the rings, I'm him
I done got rich, but I'm still with the shit, land in London and go to the ends
You might also like[Chorus: Central Cee & Lil Baby]
We can go band for band
Fuck that, we can go M for M
Quarter mil' for the Maybach truck
Double R with the factory rims
I got the 90, the Urus, the Virgil, the Brabus, I'm really a threat
It's got to the point that I don't even care
I got jewels in the safe that I don't even wear10Embed"
3,7LOsowZi5NYCfe4fhLrVk5,Outcast Music,Loose Part 2,"(Gyalie on me like loski loose, oi)
(Bring one jawn for the broski too)
(My girl savage and lowkey rude)
(So you better think twice 'fore you make that move)
(Top floor views in Dubai with the mandem)
(Bop through clean all the gyaldem watch)
(Ayy, Mr Lean)

[Verse 1]
Uh, 2022 gettin' straight to the bag
2023 got the fake bitches mad
Always in the green I don't know about you
Used to be up in the bits with the Benz in the blue
Soft and pretty but a real nigga too
Skippin' on beats like skip to my Lou
Hear a lot of shit, I don't know what's true
But they always gon' talk on the kid, nothin' new
If I shake it, make the world stop
If I pull out, make a girl drop
Niggas gassin' me like pit stops
And they really know my shit hot
So they wanna grab a snack too
Yeah he wanna taste the KitKat
If he bite it, then I'm with that
Up aginst me, that's a mismatch
Got that water, yeah, that splish-splash
So the gyaldem want to link too
Gyalie on me, got niggas on me
Be on B or you want me on T?
I was OT doing two on three
Came a long way from the light and the B
Don't ever liquor up on that we're on that brown like cognac
None of them better than me
Body said good and that's naturally
Ain't got to brag because that's for me
You might also like[Chorus]
Look, gyalie on me like lowski loose, oi
Bring one jawn for the broski too
My girl savage and lowkey rude
So you better think twice 'fore you make that move
Top floor views in Dubai with the mandem
Bop through clean all the gyaldem watch
2017, I was taking losses
2021, man's making prof'
Gyalie on me like lowski loose, oi
Bring one jawn for the broski too
My girl savage and lowkey rude
So you better think twice 'fore you make that move
Top floor views in Dubai with the mandem
Bop through clean all the gyaldem watch
2017, I was taking losses
2021, man's making prof'

[Verse 2]
You didn't wanna fuck with boy back in O-seventeen
'Cause the cash wasn't hefty
Now I kick back clean with the bro
With two tings looking like Keisha Becky
Got a sweet one, thick and friendly
Brown and boujie, leng and sexy
It's a fuckin' mess, G
Blow out the back now, I'm on to the bestie
I got a thing for cash in the bank
I shut down the show that's cash in the bank
Everybody thought the boy went ghost
Till I step out the mist and come back with a bang
None of you boys actually bad
Just act for the 'Gram and it's actually sad
One wave to the world and back
If I'm making a bag, then I'm splittin' it with squady
(Bowl too—) Bowl too hard, too bossy
Fuck an escort, never paid for a prossy
I got a pretty one that wanna bounce on my cocky
She a litty one, I told her to wait in the lobby
Young three five in the whip, man burn that
Quit then it's back to the bits
I put like fifty down on my whip
Them boys spend fifty grand but on a tech
[Chorus]
Look, gyalie on me like lowski loose, oi
Bring one jawn for the broski too
My girl savage and lowkey rude
So you better think twice 'fore you make that move
Top floor views in Dubai with the mandem
Bop through clean all the gyaldem watch
2017, I was taking losses
2021, man's making prof'
Gyalie on me like lowski loose, oi
Bring one jawn for the broski too
My girl savage and lowkey rude
So you better think twice 'fore you make that move
Top floor views in Dubai with the mandem
Bop through clean all the gyaldem watch
2017, I was taking losses
2021, man's making prof'Embed"
3,7yG364iLzExYFIaIUTbiug,Clavish,Greece,"Alive, but he shoulda been dead
Big bro got a nine, but it shoulda been less
I can tell you 'bout riskin' it all
If this car gets spun, then I'm lookin' at ten
Double-R, oral sex, that's Cullinan head
Rappin', still tryna put it to bed
No leg-shots, still gotta push it in chest
Archin' her back, gotta jook it the best
Nut in her face, now she lookin' a mess
All of my paigons lookin' depressed
If rap don't work, then I'm lookin' at 'Rex
Got my guy in the can, now he lookin' a TEC
Future's bright, still lookin' to step
Tellin' her friends I been hittin' her up
That's crazy, I want her to hold this glee, I ain't lookin' for sex
Told the guys, ""Chip in what you can
Me and broski will put in the rest""
I learned how to whip, no theory or practical
And I ain't lookin' at tests
Don't know if she's buzzin' or tryna impress
Came out and don't know why she's got on a dress
Known for pullin' up outside a paigon's house
Whenever we got an address
I seen **** get his lungs all punctured
Literally watched him run out of breath
HMP need to hand him couple of trackies, couple of creps
If she finds it hard to keep it shush
Then that's one ting won't trouble again
Feds at my door, I'm in trouble again
Opp block, tryna burst his bubble again
ZK over the flickers
But I've seen man get done worse with the flick ting
Left man red then blue on a Crip ting
And I still ain't put it in crypto
Met so many akhs in jail
Mashallah, but bro, I'm a Christian
An O-P-P got splashed in his head
We basically went to a paigon's Christenin'
Don't televise when I go on a glide
Don't bring my phone on a ride, 'cause I mean it
Blood on my knife whenever I see them
Two days and I bet you I beat it
Wrist on froze, fingers, mouth
It's a hot summer's day, but you know that I'm freezin'
And, no, I ain't got amnesia
I ain't forgotten what happened on G Wing
You might also like[Chorus]
I don't wanna hear ""intent to supply"", GBH, AM or PWI
We step in the dance and go to the restroom
Just know we ain't tryna go wee-wee
Take care of the ting, if it jams, it might need grease, Santorini
If step on your block and spray that
Let's be real, I ain't doin' grafitti
I don't wanna hear ""intent to supply"", GBH, AM or PWI
Step in the dance and go to the restroom
Just know we ain't tryna go wee-wee
Take care of the ting, if it jams, it might need grease, Santorini
If step on your block and spray that
Let's be real, I ain't doin' grafitti1Embed"
3,2HALQBSAvpw1oCzL5QsrT2,Dave,Trojan Horse,"I'm feelin' villainous
I couldn't afford them kicks, I had one pair, and I cleaned them rigorous
Squeezed in junior, I feel like Vinícius
Young Gs stupid, but, they ain't idiots
It's scary, trap insidious
How you expect us to know how to love, you know?
I can't teach no one how to hustle, some man just got it
Back then I got chased by feds, I ran out of breath and I wanted to vomit
I hit that freak, she put me in cuffs, it triggered my trauma, I tell her to stop it
She wanna know if I'm really ballin', that girl there wanna weigh my wallet

[Verse 2: Central Cee]
We ain't doin' irrational get backs, creep up clean when they least expect it
Hygiene's poor, look at the floor, there's insects crawlin', I could've got sepsis
Nasty, still try fuck on my step-sis (Huh)
Ran through nuff of these famous girls, but I still got some on my checklist
Bare gunman on my guestlist
I took bro-bro out of the trenches
Jump out the Volvo, jump out the Lexus, active
He ain't got no preference, slapped it
But, when in retrospective, I could've been calm and collected
Avoided a problem and fleed the scene
Too vocal, don't need no beat
I go old-school like Evisu Jeans
Who's that with the cargos and Corteiz?
The back poke out and the waist petite
Got flown out all the way to Greece
She got great physique
You might also like[Verse 3: Dave]
2 A.M., I'm callin' Clint, like, ""Yo, who's that girl in the vest?""
I'll send a delivery text, I know that it's wrong, it is what it is
Broski locked, I'm visitin' him
Brought eaters to the prison for him
Vision for him, and it's bigger than him
Disrespect, I'm sizzlin' him
That girl look like SZA to me
How you upset that I cut you off when you basically handed the scissors to me?
Two-man step, diligently (Grrah)
Watch my back vigilantly
My young boy do man differently
She wanna show them girl she know me, call my government name
I never tucked my shirt in school, so why would I grow up and tuck my chain?
Hide my face like, ""Fuck the fame""
Trusting different, but love's the same

[Verse 4: Central Cee]
I don't trust anyone lately, this lifestyle sendin' me crazy
Who's to say that they'll never betray me? Rusty one from the 1980s
But the new plate, a millennium baby
She deserve a standin' ovation the way that she got on her knees and ate me
Two hands, Lord Jesus, save me
We all know the industry's fake, the streets fake as well
Stand up for my rights like Santan Dave, them man stand up like Dave Chappelle
You can lock the lock, but the trap don't stop
Half of the block get paid in jail
That was a risky text before
And, now it's no danger, I'm on a major scale
[Verse 5: Dave]
That was a risky text before, if I send that now, there ain't no danger
The way that the light bounce off of these GIAs make gyal act stranger
Got love for all of the young Gs bookin' a flight, and I'm headed to Asia
Four and a baby goin' away, times were hard, I slept in a manger
Give her the Trojan, give her the Trojan Horse, I feel like Troy
Had a revolver, decomposin' hid in the woods, I feel like Roy
She give me a wine, blood rush to my genitals
Lucky for me, she can feel my—
Is it right? Won't say that it is
Shame that it is and it is what it is

[Verse 6: Central Cee]
Oi, Dave, I don't even wanna release (Why?)
I don't wanna be mentioned in the same sentence as none of these creeps
I don't wanna come to your session, I don't wanna jump on none of your beats
We can talk 'bout direct debit, my monthly payment a hundred Gs
Taxman on me, I keep receipts
My biggest paigons HMRC (Huh)
Bro got it in Masjid, he got a mad ting under his kameez
Bad one watchin' her calories, long ting, 'cause, I wanna go out to eat
Hella petite like Bella Hadid, so I handle it delicately, she kind of surprised I got elegant speech

[Verse 7: Dave]
I got a ting from DC, Harley Quinn, feel like the Joker
Back then, I had my nank in Dallas, Texas hold 'em, me and my poker
Antisocial, I'm a loner
He got done up in mid-November and didn't recover 'til late October
You'll need more than sling on a shoulder
Young black Brit in Italian kit, I feel like Tammy in Roma
I had the Range with the extra seats, so I squeezed that bitch in the back of the Rover
Cliffs of Dover, white on sea
Who's that there on the C2C?
She want a man with decent P
And her ex is a factor, Misha B
Let's not talk 'bout makin' a mill', this year, I average one in a month
Had a vision of runnin' it up, and it's workin' well like rum in a punch
In DLT I ain't come for a brunch
Who's that brownin' sat in a passy
I have plans of a cash and carry, my legs were dry, my elbows ashy
[Outro: Dave]
Ayy, speakin' of ash, I beg you man 'low with the smoking, bruv
Please bro, burnin' tobacco in the booth you man are killin' me
Tryna fuckin' record2Embed"
3,4o2Iwvz9M7qdUUaCmfrZAQ,Mixtape Madness,Next Up - Part 1,"We keep it hot on the block it's nuts
She said she love me but I do not trust
The labels are taking the piss, 5 years, 400 taking the mick
Rather sit back smoke my spliff
Bang it, slang it lemme take this risk
Got the green like [?] smoke on it and better know man look like zombie
This rapping ting is a hobby
Bro said keep it up and do it properly
Got the game like Fifa
Smoke is a [?] bake it off and sent to Rita
Smoke is a [?] bake it off and sent to Rita
Told bro it's not [?] and a hammer but fam telling me go drop this banger
Ayy, banger banger
Come to my postcode yeah and I'll show you who's badder
Didn't get no GCSE's can't lie, oh well that didn't matter
Man run up the chat tryna make it fatter
I just sit bak smoke my loud
Laughin' it off cuz we run this town
Bro come back from OT trip, food is so good man's giving him tips
Told me it's all about tricks, I didn't ever do [?]
[?] man he's moving nuts when he rubs his ting then it's out of luck
Rather sit back bag it up
Hit the backroad then we get it down
This rapping ting is easy
Sweet yeah she wanna came and be with me
I ain't got time, I'd rather go grind
This beat yeah it's way to greasy
Bro got the wight no powder
Drip, yeah I drip like the shower
I open my eyes on a snitch cuz the real ones want to turn into fake
I really put food in the plate
If you already know, yeah that is greatYou might also likeEmbed"
3,0TiSUeBM7Hg0WV3YsqsF8o,CB,Take That Risk,"M1OnTheBeat
You'll never take that risk
You'll never take that risk
MKThePlug
You'll never take that risk
You'll never take that risk
You'll never take that risk
You'll never take that risk

[Verse 1]
Yeah, we put corn in clips
How many times did we take them trips? (How many?)
I was walking around with the .38 spin
How many times did I take that risk?
How many times did they shoot and miss?
How many times did they touch civilians?
Then try rap and claim that shit (Packs)
How many lives have been taken? Shit (Shit den)
How many times have we taped off strips? (Bare times)
How many bells did I have in the chamber
And that pussyhole still got hit? (One)
How many mashes done got gripped?
How many times did we lurk with things?
How many times did I beg my friend again and again
To drop me that stick?
I got it and he saw what I did
Since then it's never left my hip
I put rambo blades in chests
I put flick knives straight in necks
With a wap, I'll aim for your head
If you see me then you're looking at death
Got 'em all scared, they're looking at their mates
Like who's getting taken next
You'll really don't wanna meet your end
Nigga, don't slip before you meet your friends
And it's real talk, I don't need to pretend
I don't play fair, man play with skengs
And I've been crashing corn at the paigons dem (Bu-bush)
Anywhere goes they know, broad day still scoring goals
When I get round on smoke
I ain't tryna hear you ain't involved
You might also like[Chorus]
You'll never take that risk
Sit back laugh with the gang
How they rap when they ain't on piss
Niggas wanna talk about riding
Whole day tryna tape off strips
No face, no case, no witness
No case, no trace, no prints
You'll never take that risk
You'll never take that risk
Sit back laugh with the gang
How they rap when they ain't on piss
Niggas wanna talk about riding
Whole day tryna tape off strips
No face, no case, no witness
No case, no trace, no prints
You'll never take that risk

[Verse 2]
All sorts of violence
Anywhere goes, that's broad day knifings
I'm the type to see that opp on the main road
And still on sight him (I don't give a fuck)
If you slip get drilled, man will double tap with the steel
Man can't talk about gang
Cah we've been around there bares
And I ain't gotta talk, we banged
These niggas, they're making me sick
How are they still posting vids they ain't on shit?
I remember it was Me, M and Shortz in the ride, two loaded sticks
Lucky that the ting there jammed (Fuck sake)
Same way it jammed on Prez
Shit den I blame that skeng cah that would've been two dead
Way before I hit mans head
They talk bout 7, it's 7 or nuthin
I ain't got love for the 6
They sneak diss, talking 'bout bitches
But we do drills and we on this ting (Gaza)
And we do this proper, still might jerk me a shotter
Bradley already got bunned
And now I'm tryna corn his brudda (Word)
[Chorus]
You'll never take that risk
Sit back laugh with the gang
How they rap when they ain't on piss
Niggas wanna talk about riding
Whole day tryna tape off strips
No face, no case, no witness
No case, no trace, no prints
You'll never take that risk
You'll never take that risk
Sit back laugh with the gang
How they rap when they ain't on piss
Niggas wanna talk about riding
Whole day tryna tape off strips
No face, no case, no witness
No case, no trace, no prints
You'll never take that risk

[Outro]
Fumez The Engineer
You'll never take that risk
You'll never take that risk
You'll never take that risk
You'll never take that risk7Embed"
3,5YYpWNNi2KaQBVWkQiDquf,K-Trap,Interlude,"(Nathaniel London)
(Remedee)

[Chorus]
You wanna go Novi' and order a pornstar
And show Snap your order?
Have you ever been A Jeweller?
No, cah you ain't been with a baller
Do you wanna go Marbs when it's poppin'?
Or fly out to somewhere tropic?
You wanna go spa, then after shoppin'?
Let me know, I got it

[Verse]
Let me know if you wanna do big on big or do the familiar shit
Let me know if you only wear PLT and wear the familiar fits
You calm with your body, I wanna make edits, have you got good credit?
Are you less is more or when you see the Insta' girls, do you kinda beg it?
You wanna stay natural, have you got some now? You wanna get tattoos
Want a good or bad yute? When your friends post you, do you tell them at you?
Let me name some countries, have you been there?
What'd you do for your skincare?
Did your first boyfriend get you a Moncler? Think we all been there
Is your IG private? All the guys in your DMs, you kinda like it
Anything you ain't tried yet
Tell me what you like and what you're not liking
Uber, are you driving?
When you're drunk are you rude and end up fighting?
Are you one for the timing?
Are you naturally swaggy or need some styling?
Are you sly or two-faced?
You like clean fits or you wanna see me with two chains?
You know 'bout Rollys, you likes chocolates, green with the blue face
Tell me the truth, if I see the opps would you tell or tell me to shoot?
Tell me your mood, you like bosses, one that'll tell you what to do
Some sexy shit
AirDrop now them sexy pics
I know your friends say you're getting thick
Tell them, ""It's sexy fish""
I wanna know everything relevant, even irrelevant
Positives and negatives, wanna be serious or you like friends with benefits?
You might also like[Chorus]
You wanna go Novi' and order a pornstar
And show Snap your order?
Have you ever been A Jeweller?
No, cah you ain't been with a baller
Do you wanna go Marbs when it's poppin'?
Or fly out to somewhere tropic?
You wanna go spa, then after shoppin'?
Let me know, I got it1Embed"
3,3CVb6hkMrlF7eHhXi5B3PZ,Russ Millions,Body,"Crud
Brap (Mhm-mm), yo
Muad
Gotcha
E-E-English girl, name Fiona
Big batty girl, name Abiola (Mm-mm)
Body-ody shape like Cola (Bah)
Back up, back up, bring it to the owner

[Chorus: Tion Wayne & Russ Millions]
Man, I'm still up on the roads, could've left (Bah, bah)
Still chattin' to my bros on the tech' (Mm-mm)
Fuck that, man, I don't give a F (Boom, boom)
What, you wanna get smoked? Cigarette (Bah, bah, bah)
English, English girl, name Fiona
African girl, Adeola
Body-ody shaped like Cola
Back up, back up, ayy, come closer

[Verse 1: Russ Millions & ArrDee]
(Vi-vi-) Vida loca (Bullet)
High as a kite, never sober (Shatai)
Python, hit him with a Cobra
Free up my bro Casanova (Free him up)
Badman persona
Badman alone can control her ('Trol her)
Sorry, sorry, your sis got bent over
Push in my hood, take anaconda (Ayy)
You might also like[Verse 2: ArrDee]
Have you seen the state of her body? (Mad)
If I beat it, I ain't wearin' a johnny (Hah)
Adeola wanna roll with a geezer (With a geez)
Is it me or the lifestyle, sweetheart?
Actually, I don't give a shit (Nah)
I'm a rapper now, might as well live in it (Live in it)
She smoke up in my hotel, billin' it (Billin' it)
You can do what you like, darlin', ArrDee don't give a F
Still get brain while I smoke cigarettes
White boy wasted, coke get her wet
But my big brownin' love roll with the Zs
I'm an English boy, but I'm so bloody lit
Yo, Tizzy, my killy, I'm litty, I'm burst (Tilly)
And her body come silly (Ayy, ayy)
Pull up to the AP 'cause we're gonna get busy (Ayy, ayy, ayy)
The king of my city for really

[Chorus: Tion Wayne & Russ Millions]
Man, I'm still up on the roads, could've left (Mm-mm)
Still chattin' to my bros on the tech' (Bah-bah)
Fuck that, man, I don't give a F (Brr)
What, you wanna get smoked? Cigarette
English, English girl, name Fiona
African girl, Adeola
Body-ody shaped like Cola
Back up, back up, ayy, come closer
[Verse 3: E1]
Don't come too close
Should I take Keisha or should I take Becky?
Russ, Tion Wayne both said, ""I don't know"" (I don't know)
I swear Big A should be sponsored by Nike
He's got so much tech when he's tryna score goals
Ordnance Road, bro back that pole
Mm-mm, if you know then you know (You know)
E1, I'm bringin' it back
Drop a gun lean cah no one's been slapped
I'm in the backseat with a brownin' yat'
With the biggest of backs and the shoulder tap (Leng)
They give us the biggest of chats
But live in the flesh, didn't see no hands (No hands)
""Anyting green get bun"" is a cap
Cah no one in 3x3's been blammed (It's for fashion)

[Verse 4: Bugzy Malone]
Look, you don't wanna get left in a mess (Ah-ha, boom)
Gun shot from the right and the left (Boom)
Fifty G's won't pay for your life
Get blazed like Cali with no cigarette (Yeah-yeah)
E-English girl named Fiona (Huh?)
Straight Hennessy with no Cola (Huh?)
Know man since Bergkamp and Zola
Hold onto the super soaker (Ai)
Anything to be God, like may the clean hearted walk free
It's ironic, 'cause he got wetted for spillin' his drink on me (Boom, boom, boom)
Needs resuscitation just to help him breathe
Man drown when it's an internal bleed
But I don't care for your nickname, or your last name
Anyone can get R.I.P.'d (Woo)
[Chorus: Tion Wayne & Russ Millions]
Man, I'm still up on the roads, could've left (Mm-mm)
Still chattin' to my bros on the tech' (Bah, bah)
Fuck that, man, I don't give a F (Brr)
What, you wanna get smoked? Cigarette
English, English girl, name Fiona
African girl, Adeola
Body-ody shape like Cola
Back up, back up, ayy, come closer

[Verse 5: Fivio Foreign]
Look, huh, hol' up (Hol' up, hol' up, hol' up)
I think I know her (Uh)
I don't like your tone, girl, talk a little lower (Nah)
Nigga get shot for smokin' my roll-up (Boom, boom, huh)
You said you got it now you gotta show up (Yeah)
Shawty gon' suck me up until it's over (Yeah)
She like a little pretzel, you can fold her (Nah)
She got the twenty inches with the closure (Uh)
Huh, yeah, 808 (Uh, yeah)
No, I don't play no games (Nah)
I don't say nothin', I don't clear no names (Nah)
If mans not hot, then mans not sayin' (Look)
If mans get boomed, then I get blamed (Boom)
I took a Perky, I'm out of my brain
I ain't never steppin' out of my lane (Nah)
Man, I did a lot of shit, man, I'm, proud of my name (Uh)

[Verse 6: ZT]
(Woo) ZT, I'm a C double S (Yes)
Chest-shot specialist, wet man's chest
B double S (Ayy)
Backshot specialist, bruck up the pum-pum, leave that wet
Bad B's in love with the set, no stress, get bread
And we set them trends, no meds
We flex on the opps, get vexed
No net, but you know that we scored on them (Boom, boom)
Me and E just stepped on scene, SOS for an anti-green
AFG is an anti team, I don't know about them, got a rams on me (Mm-mm)
I see one of them IC3s, I make the hand ting beat (Brap, brap)
Neezy stuck in the streets (Mm-mm)
Shoutout my 3x3s (Brr, brap)

[Verse 7: DARKOO]
Touch-touch my watch, man, you must be crazy (Bad him up)
Had an Rollie, then I switched to the AP (Boom)
Body like an earthquake, somethin' like Haiti (Ah)
She knows me in pages, she callin' me ""Baby"" (Yes)
In twenty-three hours, had them bring that back (Bring it)
A Rolex can't phase me
Time be money, so bitch come pay me
Swing both ways or bring your lady
Jig-jiggy with the baddie, wanna come get jiggy with it
And I ain't talking waps (Really), but she know that I'm strapped
(Really, really with it) Yeah, you know me, I'm really, really with it
Can't compare when you talk about stacks
Can't compare when you talk about stacks
Hundred K when I pay my tax
Bend it, shawty wanna make it clap
Bend it, shawty wanna arch her back

[Verse 8: Buni & Tion Wayne]
""Gun lean get shot from the backseat""
'Til man pull up and bun out the backseat (Nakky)
Gassed up, top boy like Ashley
Tappy, swing, get ying up badly (Ying)
Good dick make gyal scream ""Papi""
She holds my wappy, she makes me happy (Mm-mm)
You know I'm tappy, I chat, and not cappy
I rub my mashy, I'm too-too catty (Too catty)
Make man shake, no Harlem (Wah?)
Gassed up, 300, no Spartan (Oi)
I beg man pardon, dot-dot blastin'
Might get blicked where you're two-step dancin' (Brr)
I do no talkin', the gyal, I'm clartin'
It's your boy in a spliff, I rass him (Mm-mm)
Bro red card him, shots, no warning (Yo)
When I see red, I'm chargin' (Dead)

[Chorus: Tion Wayne & Russ Millions]
Man, I'm still up on the roads, could've left (Mm-mm)
Still chattin' to my bros on the tech' (Bah, bah)
Fuck that, man, I don't give a F (Brr)
What, you wanna get smoked? Cigarette
English, English girl, name Fiona
African girl, Adeola
Body-ody shaped like Cola
Back up, back up, ayy, come closer78Embed"
3,0pWe6arB3oGxI8msYHObbA,Nemzzz,WYA,"(ZEL, this shit crazy)
Yo

[Chorus]
She wanna be wherever I'm at, tellin' me drop locations
Spin this whip like I'm in a race, I got two sweet ones waiting
You wonder why you ain't got no bread, you do too much complaining
TBH, to be honest, me, I just find it draining

[Verse 1]
Back in your highlights once again cah you know I find you sexy, yo
Back on the road again, you know that means don't call or text me, no
Think my ego big, I say what I want like, ""Who gonna check me?""
Go ask bro, been tryna get man licked down when they upset me
She think that I'm insecure, then tell me why I should trust you for?
Don't even start that shit, I'm paranoid 'cause I've seen it before
You know you're sweet, come like arts, some art that can't be drawn
Who's that over there? This sweet one caught my eye, she gorgeous
Ten out of ten, that's TT, you can't ignore it
Broski flyin' them out, then flyin' them in, them packs imported
I know that I got your number, but I ain't had no time to call it
I know that I got your number, but I just shout you when I'm horny

[Chorus]
She wanna be wherever I'm at, tellin' me drop locations
Spin this whip like I'm in a race, I got two sweet ones waiting
You wonder why you ain't got no bread, you do too much complaining
TBH, to be honest, me, I just find it draining
She wanna be wherever I'm at, tellin' me drop locations
Spin this whip like I'm in a race, I got two sweet ones waiting
You wonder why you ain't got no bread, you do too much complaining
TBH, to be honest, me, I just find it draining
You might also like[Verse 2]
I don't go out too much, so when I do, I pop my shit
I know you care, W from H and me like Smith
I like them fitted, I'm gettin' them tailored like I'm Swift
I think she wanna go Tokyo, so get up on top and drift
Swing that to my boy Emvee, Ak online just choppin' neek
I'm in the whip just cruising now, baby, don't lie, man, I know you're a freak
You know my brand, LV, LV
You know what I'm on, KMT

[Chorus]
She wanna be wherever I'm at, tellin' me drop locations
Spin this whip like I'm in a race, I got two sweet ones waiting
You wonder why you ain't got no bread, you do too much complaining
TBH, to be honest, me, I just find it draining

[Outro]
Come on, man
Motion way or no way, no emotion
All year, all my life, trust me
You niggas ain't got no motionEmbed"
3,4c7O0ni1VZaa7vBUbrHA6b,LD,Part 1 (So Fly),"Yo Sho turn it up bro, umm, umm
She 10x better than Sheefleeka, and Erin Budina
She loves a bit a sex, a bit of reefer, a bit of GTA, a bit of FIFA
That's, deffo a keeper (full stop)
For the pussy, I'm a cat
But don't worry, I'm not a cheater (don't worry babe)
She thought she's all real I show her realer (realer), and I was top floor views for the dinners
She said she never end up with a thug but she ate her own words because she stepping with a driller (L)
She listen to her friends talking shit then we break up (ah), then we get to talking (ah), then it's good sexing (come on), then we just make up (ah), because now we gotta go through domestics and wake up that's real shit (real shit)
Any little problem you got you know I deal with, you got some big plans houses over seas shit, and she told me stop smoking but this here this is what the weed is

[Chorus: Young Adz]
Yeah, I say baby don't cry yeah, while I'm answering my dope line yeah
If they lock me up I'm so fine yeah, I'll be back to you in no time yeah (ummm)
Moncler on a Monday because your my chick, I introduce you onto some fly shit through some fly shit yeahhh
Fell in love with a G you're like my sidekick, they don't try it because your my bitch yeahhh

[Verse 2: LD]
Babe I'm working when I'm doing shows (working), I know it's on your mind you think I'm doing loads (loads), and these little jealous haters wanna be involved (um)
The little drawers don't make me do the road
Your heart drops anytime I'm with my drillersdem (60), you say that I got you so I don't need a friend (um)
Don't worry about dem thoughts I ain't preeing dem (I ain't preeing dem),  with your figure 8 body that makes you a 10, and that makes me a winner
I give you be legendary dick, this ain't no beginner, got your friends asking questions they just being inner
Big shark up in the seas don't take me no kipper (no fish), and I love it when you tell me undo your zipper (hah)
I'm 10x better than your ex, and I have you thinking nobodies next (nobody)
I'm better than the rest (uhh ah), I still pull up on flex I know you love the 67 on my chest, yes yes (weed)
You might also like[Chorus: Young Adz]
Yeah, I say baby don't cry yeah, while I'm answering my dope line yeah
If they lock me up I'm so fine yeah, I'll be back to you in no time yeah (ouuweee)
Monclair all the monday because your my chick, I ain't too sure through some fly shit yeahhh
Fell in love with a G you're like my sidekick, they don't try it because your my bitch
Yeah, I say baby don't cry yeah, while I'm answering my dope line yeah
If they lock me up I'm so fine yeah, I'll be back to you in no time yeah (ummm)
Monclair all the monday because your my chick, I ain't [?] too sure through some fly shit yeahhh
Fell in love with a G you're like my sidekick, they don't try it because your my bitchEmbed"
