prefer,track_id,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
5,2dbOYFfS7r7NAzquRvji9A,Accept,Balls to the Wall,0.544,0.739,9,-7.383,1,0.0517,0.00392,0.000143,0.168,0.328,118.287,342600,4,"german heavy metal, german metal, glam metal, hard rock, metal, power metal, speed metal, thrash metal"
5,5z0QlOV93W6Yo7DG2SYOJP,Against The Current,weapon,0.402,0.924,7,-4.089,0,0.156,0.00021,0,0.237,0.443,180.075,197209,4,"neon pop punk, pixie, pop punk"
5,5ofoB8PFmocBXFBEWVb6Vz,Architects,Animals,0.532,0.759,1,-3.842,0,0.0319,0.000123,0.02,0.073,0.293,95.01,244365,4,"mathcore, melodic metalcore, metalcore, progressive metalcore, uk metalcore"
5,2sfH7KtjAnWv1algu94TR5,Rain City Drive,Medicate Me,0.526,0.928,6,-3.978,0,0.167,0.0024,0,0.349,0.472,109.929,167455,4,
5,12D1KLVjHdKiAckFi6ZEP1,Point North,Safe And Sound,0.472,0.947,2,-3.124,1,0.204,0.000338,0,0.071,0.459,161.108,201403,4,pop punk
5,39iRz0h1eZOyXzch8tKQit,CORPSE,CODE MISTAKE,0.452,0.967,0,-3.607,0,0.514,0.00108,0,0.203,0.313,145.231,165304,4,pov: indie
5,2exVVVKvdymCwOFdvmA2bq,Spiritbox,The Void,0.408,0.985,10,-3.369,0,0.25,2.65e-05,0.00227,0.471,0.33,144.063,220766,4,canadian metalcore
5,20Ov4hI7Z5xh9NkLMMf0db,Catch Your Breath,21 Gun Salute,0.393,0.882,4,-4.937,0,0.076,0.000804,0,0.676,0.184,142.651,226241,4,american metalcore
5,4Xe8ybuHb2CKiFc55bp8VZ,Of Mice & Men,Would You Still Be There,0.513,0.917,10,-3.612,1,0.0505,5.86e-05,7.1e-05,0.309,0.481,96.022,192507,4,"alternative metal, melodic metalcore, metalcore, pop punk, post-grunge"
5,60rHc4AkLlP4XVSATvBb6K,Halestorm,I Miss the Misery,0.469,0.969,0,-2.219,1,0.0589,0.009,1.11e-05,0.346,0.476,164.042,183507,4,"alternative metal, nu metal, post-grunge"
5,75R95k0ICuZBFVEjBauOtt,Architects,Doomsday,0.523,0.979,2,-4.214,1,0.159,2.62e-05,2.56e-05,0.153,0.179,125.038,248880,4,"mathcore, melodic metalcore, metalcore, progressive metalcore, uk metalcore"
5,1g5Jqwo02PuitYfv19B6Jn,We Came As Romans,Black Hole,0.49,0.956,5,-4.249,0,0.0675,2.32e-05,0,0.455,0.412,110.042,179187,4,"christian rock, melodic metalcore, metalcore, pop punk, trancecore"
